variable,sort_type,modes,chi2
7.50,hist,1,0.00
7.50,hist,2,0.00
7.50,hist,3,0.00
7.50,hist,4,0.00
7.50,hist,5,0.00
7.50,hist,6,0.00
7.50,hist,7,0.00
7.50,hist,8,0.00
7.50,hist,9,0.00
7.50,hist,10,0.00
7.50,hist,11,0.00
7.50,hist,12,0.00
7.50,hist,13,0.00
7.50,hist,14,0.00
7.50,hist,15,0.00
7.50,hist,16,0.00
7.50,hist,17,0.00
7.50,hist,18,0.00
7.50,hist,19,0.00
7.50,hist,20,0.00
7.50,hist,21,0.00
7.50,hist,22,0.00
7.50,hist,23,0.05
7.50,hist,24,0.18
7.50,hist,25,0.41
7.50,hist,26,0.73
7.50,hist,27,1.14
7.50,hist,28,1.64
7.50,hist,29,2.23
7.50,hist,30,2.91
7.50,hist,31,3.68
7.50,hist,32,4.55
7.50,hist,33,5.50
7.50,hist,34,6.55
7.50,hist,35,7.68
7.50,hist,36,7.68
7.50,hist,37,7.68
7.50,hist,38,7.68
7.50,hist,39,7.68
7.50,hist,40,7.68
7.50,hist,41,7.68
7.50,hist,42,7.68
7.50,hist,43,7.68
7.50,hist,44,7.68
7.50,hist,45,7.68
7.50,hist,46,7.68
7.50,hist,47,7.68
7.50,hist,48,7.68
7.50,hist,49,7.68
7.50,hist,50,7.68
7.50,hist,51,7.68
7.50,hist,52,7.68
7.50,hist,53,7.68
7.50,hist,54,7.68
7.50,hist,55,7.68
7.50,hist,56,12.05
7.50,hist,57,11.35
7.50,hist,58,10.71
7.50,hist,59,10.14
7.50,hist,60,9.62
7.50,hist,61,9.17
7.50,hist,62,8.77
7.50,hist,63,8.44
7.50,hist,64,8.17
7.50,hist,65,7.95
7.50,hist,66,7.80
7.50,hist,67,7.71
7.50,hist,68,7.68
7.50,hist,69,7.71
7.50,hist,70,7.80
7.50,hist,71,7.95
7.50,hist,72,8.17
7.50,hist,73,8.44
7.50,hist,74,8.77
7.50,hist,75,9.17
7.50,hist,76,9.62
7.50,hist,77,10.14
7.50,hist,78,10.71
7.50,hist,79,11.35
7.50,hist,80,12.05
7.50,hist,81,12.80
7.50,hist,82,13.62
7.50,hist,83,14.50
7.50,hist,84,15.44
7.50,hist,85,15.44
7.50,hist,86,15.44
7.50,hist,87,15.44
7.50,hist,88,15.44
7.50,hist,89,15.44
7.50,hist,90,15.44
7.50,hist,91,15.44
7.50,hist,92,15.44
7.50,hist,93,15.44
7.50,hist,94,15.44
7.50,hist,95,15.44
7.50,hist,96,15.44
7.50,hist,97,15.44
7.50,hist,98,15.44
7.50,hist,99,15.44
7.50,hist,100,33.26
7.50,hist,1175,956.47
8.00,hist,1,0.00
8.00,hist,2,0.00
8.00,hist,3,0.00
8.00,hist,4,0.00
8.00,hist,5,0.00
8.00,hist,6,0.00
8.00,hist,7,0.00
8.00,hist,8,0.00
8.00,hist,9,0.00
8.00,hist,10,0.00
8.00,hist,11,0.00
8.00,hist,12,0.00
8.00,hist,13,0.00
8.00,hist,14,0.00
8.00,hist,15,0.00
8.00,hist,16,0.00
8.00,hist,17,0.00
8.00,hist,18,0.00
8.00,hist,19,0.00
8.00,hist,20,0.00
8.00,hist,21,0.00
8.00,hist,22,0.00
8.00,hist,23,0.05
8.00,hist,24,0.18
8.00,hist,25,0.41
8.00,hist,26,0.73
8.00,hist,27,1.14
8.00,hist,28,1.64
8.00,hist,29,2.23
8.00,hist,30,2.91
8.00,hist,31,3.68
8.00,hist,32,4.55
8.00,hist,33,5.50
8.00,hist,34,6.55
8.00,hist,35,6.55
8.00,hist,36,6.55
8.00,hist,37,6.55
8.00,hist,38,6.55
8.00,hist,39,6.55
8.00,hist,40,6.55
8.00,hist,41,6.55
8.00,hist,42,6.55
8.00,hist,43,6.55
8.00,hist,44,6.55
8.00,hist,45,6.55
8.00,hist,46,6.55
8.00,hist,47,6.55
8.00,hist,48,6.55
8.00,hist,49,6.55
8.00,hist,50,6.55
8.00,hist,51,6.55
8.00,hist,52,6.55
8.00,hist,53,6.55
8.00,hist,54,6.55
8.00,hist,55,6.55
8.00,hist,56,10.21
8.00,hist,57,9.58
8.00,hist,58,9.00
8.00,hist,59,8.48
8.00,hist,60,8.03
8.00,hist,61,7.64
8.00,hist,62,7.30
8.00,hist,63,7.03
8.00,hist,64,6.82
8.00,hist,65,6.67
8.00,hist,66,6.58
8.00,hist,67,6.55
8.00,hist,68,6.58
8.00,hist,69,6.67
8.00,hist,70,6.82
8.00,hist,71,7.03
8.00,hist,72,7.30
8.00,hist,73,7.64
8.00,hist,74,8.03
8.00,hist,75,8.48
8.00,hist,76,9.00
8.00,hist,77,9.58
8.00,hist,78,10.21
8.00,hist,79,10.91
8.00,hist,80,11.67
8.00,hist,81,12.48
8.00,hist,82,13.36
8.00,hist,83,14.30
8.00,hist,84,15.30
8.00,hist,85,16.36
8.00,hist,86,17.48
8.00,hist,87,18.67
8.00,hist,88,19.91
8.00,hist,89,21.21
8.00,hist,90,22.58
8.00,hist,91,24.00
8.00,hist,92,25.48
8.00,hist,93,27.03
8.00,hist,94,27.03
8.00,hist,95,27.03
8.00,hist,96,27.03
8.00,hist,97,27.03
8.00,hist,98,27.03
8.00,hist,99,27.03
8.00,hist,100,58.14
8.00,hist,1175,1406.05
8.50,hist,1,0.00
8.50,hist,2,0.00
8.50,hist,3,0.00
8.50,hist,4,0.00
8.50,hist,5,0.00
8.50,hist,6,0.00
8.50,hist,7,0.00
8.50,hist,8,0.00
8.50,hist,9,0.00
8.50,hist,10,0.00
8.50,hist,11,0.00
8.50,hist,12,0.00
8.50,hist,13,0.00
8.50,hist,14,0.00
8.50,hist,15,0.00
8.50,hist,16,0.00
8.50,hist,17,0.00
8.50,hist,18,0.00
8.50,hist,19,0.00
8.50,hist,20,0.00
8.50,hist,21,0.00
8.50,hist,22,0.00
8.50,hist,23,0.05
8.50,hist,24,0.18
8.50,hist,25,0.41
8.50,hist,26,0.73
8.50,hist,27,1.14
8.50,hist,28,1.64
8.50,hist,29,2.23
8.50,hist,30,2.91
8.50,hist,31,3.68
8.50,hist,32,4.55
8.50,hist,33,5.50
8.50,hist,34,6.55
8.50,hist,35,7.68
8.50,hist,36,8.91
8.50,hist,37,10.23
8.50,hist,38,11.64
8.50,hist,39,11.64
8.50,hist,40,11.64
8.50,hist,41,11.64
8.50,hist,42,11.64
8.50,hist,43,11.64
8.50,hist,44,11.64
8.50,hist,45,11.64
8.50,hist,46,11.64
8.50,hist,47,11.64
8.50,hist,48,11.64
8.50,hist,49,11.64
8.50,hist,50,11.64
8.50,hist,51,11.64
8.50,hist,52,11.64
8.50,hist,53,11.64
8.50,hist,54,11.64
8.50,hist,55,11.64
8.50,hist,56,18.45
8.50,hist,57,17.58
8.50,hist,58,16.76
8.50,hist,59,16.00
8.50,hist,60,15.30
8.50,hist,61,14.67
8.50,hist,62,14.09
8.50,hist,63,13.58
8.50,hist,64,13.12
8.50,hist,65,12.73
8.50,hist,66,12.39
