form_idx,mode,eigval
0,1,1.61
0,2,2.60
0,3,2.92
0,4,4.19
0,5,5.22
0,6,5.35
0,7,6.77
0,8,7.20
0,9,7.59
0,10,8.40
0,11,9.20
0,12,9.66
0,13,9.90
0,14,10.77
0,15,11.48
0,16,11.91
0,17,12.31
0,18,12.56
0,19,12.83
0,20,13.51
0,21,13.90
0,22,14.63
0,23,15.36
0,24,15.93
0,25,16.02
0,26,16.65
0,27,17.70
0,28,18.29
0,29,18.67
0,30,19.12
0,31,19.57
0,32,20.23
0,33,20.32
0,34,20.85
0,35,21.16
0,36,21.80
0,37,22.12
0,38,22.25
0,39,23.08
0,40,23.50
0,41,24.06
0,42,24.36
0,43,24.93
0,44,25.08
0,45,25.42
0,46,25.93
0,47,26.21
0,48,26.60
0,49,27.37
0,50,27.55
0,51,27.61
0,52,28.13
0,53,28.39
0,54,28.84
0,55,29.60
0,56,30.01
0,57,30.25
0,58,30.68
0,59,31.10
0,60,31.41
0,61,31.76
0,62,32.03
0,63,32.31
0,64,32.73
0,65,32.88
0,66,32.98
0,67,33.30
0,68,33.87
0,69,34.46
0,70,34.76
0,71,35.39
0,72,35.57
0,73,35.91
0,74,36.30
0,75,36.84
0,76,36.94
0,77,37.37
0,78,37.55
0,79,37.79
0,80,38.01
0,81,38.54
0,82,38.81
0,83,39.38
0,84,39.92
0,85,40.22
0,86,40.48
0,87,40.57
0,88,41.24
0,89,41.55
0,90,41.67
0,91,41.98
0,92,42.24
0,93,42.68
0,94,42.81
0,95,43.14
0,96,43.60
0,97,43.82
0,98,44.13
0,99,44.81
0,100,45.01
0,101,45.07
0,102,45.50
0,103,45.59
0,104,45.82
0,105,46.38
0,106,46.59
0,107,47.01
0,108,47.02
0,109,47.44
0,110,47.57
0,111,47.79
0,112,48.13
0,113,48.75
0,114,48.93
0,115,49.10
0,116,49.49
0,117,49.81
0,118,50.04
0,119,50.41
0,120,50.80
0,121,51.02
0,122,51.20
0,123,51.67
0,124,51.93
0,125,52.47
0,126,52.61
0,127,53.35
0,128,53.47
0,129,53.67
0,130,53.93
0,131,54.43
0,132,54.56
0,133,54.94
0,134,55.37
0,135,55.52
0,136,55.75
0,137,56.00
0,138,56.41
0,139,56.80
0,140,57.02
0,141,57.38
0,142,57.42
0,143,57.73
0,144,58.40
0,145,58.71
0,146,58.76
0,147,59.17
0,148,59.30
0,149,59.86
