variable,sort_type,modes,chi2
1.00,hist,1,0.00
1.00,hist,2,0.00
1.00,hist,3,0.00
1.00,hist,4,0.00
1.00,hist,5,0.00
1.00,hist,6,0.00
1.00,hist,7,0.00
1.00,hist,8,0.00
1.00,hist,9,0.00
1.00,hist,10,0.00
1.00,hist,11,0.00
1.00,hist,12,0.00
1.00,hist,13,0.00
1.00,hist,14,0.00
1.00,hist,15,0.00
1.00,hist,16,0.00
1.00,hist,17,0.06
1.00,hist,18,0.25
1.00,hist,19,0.56
1.00,hist,20,1.00
1.00,hist,21,1.56
1.00,hist,22,2.25
1.00,hist,23,3.06
1.00,hist,24,4.00
1.00,hist,25,5.06
1.00,hist,26,6.25
1.00,hist,27,7.56
1.00,hist,28,9.00
1.00,hist,29,10.56
1.00,hist,30,10.56
1.00,hist,31,10.56
1.00,hist,32,10.56
1.00,hist,33,10.56
1.00,hist,34,10.56
1.00,hist,35,10.56
1.00,hist,36,10.56
1.00,hist,37,10.56
1.00,hist,38,10.56
1.00,hist,39,10.56
1.00,hist,40,10.56
1.00,hist,41,10.56
1.00,hist,42,10.56
1.00,hist,43,10.56
1.00,hist,44,10.56
1.00,hist,45,10.56
1.00,hist,46,10.56
1.00,hist,47,10.56
1.00,hist,48,10.56
1.00,hist,49,10.56
1.00,hist,50,10.56
1.00,hist,51,10.56
1.00,hist,52,10.56
1.00,hist,53,14.56
1.00,hist,54,13.92
1.00,hist,55,13.34
1.00,hist,56,12.81
1.00,hist,57,12.34
1.00,hist,58,11.92
1.00,hist,59,11.56
1.00,hist,60,11.26
1.00,hist,61,11.01
1.00,hist,62,10.81
1.00,hist,63,10.67
1.00,hist,64,10.59
1.00,hist,65,10.56
1.00,hist,66,10.59
1.00,hist,67,10.67
1.00,hist,68,10.81
1.00,hist,69,11.01
1.00,hist,70,11.26
1.00,hist,71,11.56
1.00,hist,72,11.92
1.00,hist,73,12.34
1.00,hist,74,12.81
1.00,hist,75,13.34
1.00,hist,76,13.92
1.00,hist,77,14.56
1.00,hist,78,15.26
1.00,hist,79,16.01
1.00,hist,80,16.81
1.00,hist,81,17.67
1.00,hist,82,18.59
1.00,hist,83,19.56
1.00,hist,84,20.59
1.00,hist,85,21.67
1.00,hist,86,22.81
1.00,hist,87,24.01
1.00,hist,88,25.26
1.00,hist,89,26.56
1.00,hist,90,27.92
1.00,hist,91,29.34
1.00,hist,92,30.81
1.00,hist,93,32.34
1.00,hist,94,33.92
1.00,hist,95,35.56
1.00,hist,96,37.26
1.00,hist,97,39.01
1.00,hist,98,40.81
1.00,hist,99,42.67
1.00,hist,100,44.59
1.00,hist,1253,1932.27
10.00,hist,1,0.00
10.00,hist,2,0.00
10.00,hist,3,0.00
10.00,hist,4,0.00
10.00,hist,5,0.00
10.00,hist,6,0.00
10.00,hist,7,0.00
10.00,hist,8,0.00
10.00,hist,9,0.00
10.00,hist,10,0.00
10.00,hist,11,0.00
10.00,hist,12,0.00
10.00,hist,13,0.00
10.00,hist,14,0.00
10.00,hist,15,0.00
10.00,hist,16,0.00
10.00,hist,17,0.06
10.00,hist,18,0.25
10.00,hist,19,0.56
10.00,hist,20,1.00
10.00,hist,21,1.56
10.00,hist,22,2.25
10.00,hist,23,3.06
10.00,hist,24,4.00
10.00,hist,25,5.06
10.00,hist,26,6.25
10.00,hist,27,7.56
10.00,hist,28,9.00
10.00,hist,29,10.56
10.00,hist,30,10.56
10.00,hist,31,10.56
10.00,hist,32,10.56
10.00,hist,33,10.56
10.00,hist,34,10.56
10.00,hist,35,10.56
10.00,hist,36,10.56
10.00,hist,37,10.56
10.00,hist,38,10.56
10.00,hist,39,10.56
10.00,hist,40,10.56
10.00,hist,41,10.56
10.00,hist,42,10.56
10.00,hist,43,10.56
10.00,hist,44,10.56
10.00,hist,45,10.56
10.00,hist,46,10.56
10.00,hist,47,10.56
10.00,hist,48,10.56
10.00,hist,49,10.56
10.00,hist,50,10.56
10.00,hist,51,10.56
10.00,hist,52,10.56
10.00,hist,53,14.56
10.00,hist,54,13.92
10.00,hist,55,13.34
10.00,hist,56,12.81
10.00,hist,57,12.34
10.00,hist,58,11.92
10.00,hist,59,11.56
10.00,hist,60,11.26
10.00,hist,61,11.01
10.00,hist,62,10.81
10.00,hist,63,10.67
10.00,hist,64,10.59
10.00,hist,65,10.56
10.00,hist,66,10.59
10.00,hist,67,10.67
10.00,hist,68,10.81
10.00,hist,69,11.01
10.00,hist,70,11.26
10.00,hist,71,11.56
10.00,hist,72,11.92
10.00,hist,73,12.34
10.00,hist,74,12.81
10.00,hist,75,13.34
10.00,hist,76,13.92
10.00,hist,77,14.56
10.00,hist,78,15.26
10.00,hist,79,16.01
10.00,hist,80,16.81
10.00,hist,81,17.67
10.00,hist,82,18.59
10.00,hist,83,19.56
10.00,hist,84,20.59
10.00,hist,85,21.67
10.00,hist,86,22.81
10.00,hist,87,24.01
10.00,hist,88,25.26
10.00,hist,89,26.56
10.00,hist,90,27.92
10.00,hist,91,29.34
10.00,hist,92,30.81
10.00,hist,93,32.34
10.00,hist,94,33.92
10.00,hist,95,35.56
10.00,hist,96,37.26
10.00,hist,97,39.01
10.00,hist,98,40.81
10.00,hist,99,42.67
10.00,hist,100,42.67
10.00,hist,1253,1253.63
20.00,hist,1,0.00
20.00,hist,2,0.00
20.00,hist,3,0.00
20.00,hist,4,0.00
20.00,hist,5,0.00
20.00,hist,6,0.00
20.00,hist,7,0.00
20.00,hist,8,0.00
20.00,hist,9,0.00
20.00,hist,10,0.00
20.00,hist,11,0.00
20.00,hist,12,0.00
20.00,hist,13,0.00
20.00,hist,14,0.00
20.00,hist,15,0.00
20.00,hist,16,0.00
20.00,hist,17,0.06
20.00,hist,18,0.25
20.00,hist,19,0.56
20.00,hist,20,1.00
20.00,hist,21,1.56
20.00,hist,22,2.25
20.00,hist,23,3.06
20.00,hist,24,4.00
20.00,hist,25,5.06
20.00,hist,26,6.25
20.00,hist,27,7.56
20.00,hist,28,9.00
20.00,hist,29,10.56
20.00,hist,30,10.56
20.00,hist,31,10.56
20.00,hist,32,10.56
20.00,hist,33,10.56
20.00,hist,34,10.56
20.00,hist,35,10.56
20.00,hist,36,10.56
20.00,hist,37,10.56
20.00,hist,38,10.56
20.00,hist,39,10.56
20.00,hist,40,10.56
20.00,hist,41,10.56
20.00,hist,42,10.56
20.00,hist,43,10.56
20.00,hist,44,10.56
20.00,hist,45,10.56
20.00,hist,46,10.56
20.00,hist,47,10.56
20.00,hist,48,10.56
20.00,hist,49,10.56
20.00,hist,50,10.56
20.00,hist,51,10.56
20.00,hist,52,10.56
20.00,hist,53,14.56
20.00,hist,54,13.92
20.00,hist,55,13.34
20.00,hist,56,12.81
20.00,hist,57,12.34
20.00,hist,58,11.92
20.00,hist,59,11.56
20.00,hist,60,11.26
20.00,hist,61,11.01
20.00,hist,62,10.81
20.00,hist,63,10.67
20.00,hist,64,10.59
20.00,hist,65,10.56
20.00,hist,66,10.59
20.00,hist,67,10.67
20.00,hist,68,10.81
20.00,hist,69,11.01
20.00,hist,70,11.26
20.00,hist,71,11.56
20.00,hist,72,11.92
20.00,hist,73,12.34
20.00,hist,74,12.81
20.00,hist,75,13.34
20.00,hist,76,13.92
20.00,hist,77,14.56
20.00,hist,78,15.26
20.00,hist,79,16.01
20.00,hist,80,16.81
20.00,hist,81,17.67
20.00,hist,82,18.59
20.00,hist,83,19.56
20.00,hist,84,20.59
20.00,hist,85,21.67
20.00,hist,86,22.81
20.00,hist,87,24.01
20.00,hist,88,25.26
