form_idx,mode,eigval
0,1,2.97
0,2,3.96
0,3,6.11
0,4,6.52
0,5,7.56
0,6,7.99
0,7,8.92
0,8,9.49
0,9,9.77
0,10,10.43
0,11,11.33
0,12,12.24
0,13,12.59
0,14,13.17
0,15,14.14
0,16,14.50
0,17,15.09
0,18,15.27
0,19,16.34
0,20,16.67
0,21,17.54
0,22,17.98
0,23,18.04
0,24,18.83
0,25,19.04
0,26,19.39
0,27,19.56
0,28,20.29
0,29,20.47
0,30,20.73
0,31,21.30
0,32,21.93
0,33,22.04
0,34,22.73
0,35,23.21
0,36,23.31
0,37,23.61
0,38,24.05
0,39,24.55
0,40,25.13
0,41,25.37
0,42,25.68
0,43,26.74
0,44,26.77
0,45,27.18
0,46,27.78
0,47,28.09
0,48,28.55
0,49,28.82
0,50,29.05
0,51,29.48
0,52,29.78
0,53,30.06
0,54,30.43
0,55,30.55
0,56,30.88
0,57,31.07
0,58,31.61
0,59,31.84
0,60,32.10
0,61,32.60
0,62,32.76
0,63,33.31
0,64,33.49
0,65,34.12
0,66,34.33
0,67,34.51
0,68,34.57
0,69,35.02
0,70,35.42
0,71,35.72
0,72,35.87
0,73,36.18
0,74,36.49
0,75,37.14
0,76,37.39
0,77,37.60
0,78,37.96
0,79,38.08
0,80,38.43
0,81,38.50
0,82,38.85
0,83,38.98
0,84,39.30
0,85,40.00
0,86,40.38
0,87,40.56
0,88,41.08
0,89,41.36
0,90,41.40
0,91,41.73
0,92,42.00
0,93,42.48
0,94,42.69
0,95,42.83
0,96,43.04
0,97,43.35
0,98,43.61
0,99,43.88
0,100,44.06
0,101,44.58
0,102,45.20
0,103,45.38
0,104,45.56
0,105,45.95
0,106,46.15
0,107,46.67
0,108,46.78
0,109,47.27
0,110,47.46
0,111,47.76
0,112,48.09
0,113,48.28
0,114,48.30
0,115,48.73
0,116,48.90
0,117,49.12
0,118,49.70
0,119,49.99
0,120,50.12
0,121,50.56
0,122,50.82
0,123,50.92
0,124,51.37
0,125,51.53
0,126,51.70
0,127,51.97
0,128,52.38
0,129,52.74
0,130,52.95
0,131,53.03
0,132,53.40
0,133,53.64
0,134,54.15
0,135,54.56
0,136,55.07
0,137,55.21
0,138,55.41
0,139,55.70
0,140,56.03
0,141,56.16
0,142,56.32
0,143,56.79
0,144,56.84
0,145,57.08
0,146,57.77
0,147,57.91
0,148,58.30
0,149,58.34
0,150,58.87
0,151,59.23
0,152,59.79
0,153,60.08
0,154,60.26
0,155,60.44
0,156,60.86
0,157,61.23
0,158,61.47
0,159,61.67
0,160,61.93
0,161,62.18
0,162,62.49
0,163,62.71
0,164,62.82
0,165,63.13
0,166,63.60
0,167,63.81
0,168,64.03
0,169,64.12
0,170,64.55
0,171,64.99
0,172,65.39
0,173,65.64
0,174,65.91
0,175,66.01
0,176,66.37
0,177,66.61
0,178,66.89
0,179,67.08
0,180,67.53
0,181,67.71
0,182,67.79
0,183,68.16
0,184,68.71
0,185,68.86
0,186,68.99
0,187,69.10
0,188,69.47
0,189,69.64
0,190,70.09
0,191,70.28
0,192,70.36
0,193,70.72
0,194,71.50
0,195,71.94
0,196,72.12
0,197,72.30
0,198,72.51
0,199,72.69
0,200,73.22
0,201,73.52
0,202,73.85
0,203,73.96
0,204,74.42
0,205,74.63
0,206,74.71
0,207,75.07
0,208,75.32
0,209,75.56
0,210,75.90
0,211,76.51
0,212,76.61
0,213,76.75
0,214,77.27
0,215,77.34
0,216,77.78
0,217,78.15
0,218,78.29
0,219,78.66
0,220,78.73
0,221,79.14
0,222,79.47
0,223,79.90
0,224,80.06
0,225,80.47
0,226,80.77
0,227,81.08
0,228,81.24
0,229,81.40
0,230,82.09
0,231,82.47
0,232,82.64
0,233,82.99
0,234,83.15
0,235,83.57
0,236,83.73
0,237,83.82
0,238,83.97
0,239,84.23
0,240,84.27
0,241,84.83
0,242,85.22
0,243,85.49
0,244,85.99
0,245,86.05
0,246,86.63
0,247,86.87
0,248,86.99
0,249,87.52
0,250,87.62
0,251,87.71
0,252,87.92
0,253,88.10
0,254,88.56
0,255,88.70
0,256,88.90
0,257,89.24
0,258,89.68
0,259,90.33
0,260,90.45
0,261,90.78
0,262,91.03
0,263,91.15
0,264,91.56
0,265,91.75
0,266,92.32
0,267,92.61
0,268,92.93
0,269,93.19
0,270,93.49
0,271,93.61
0,272,93.88
0,273,94.01
0,274,94.24
0,275,94.62
0,276,95.03
0,277,95.41
0,278,95.60
0,279,95.79
0,280,96.49
0,281,96.68
0,282,96.96
0,283,97.39
0,284,97.57
0,285,97.90
0,286,98.25
0,287,98.40
0,288,99.04
0,289,99.07
0,290,99.33
0,291,99.56
0,292,99.82
0,293,100.22
0,294,100.29
0,295,100.37
0,296,100.90
0,297,101.08
0,298,101.35
0,299,101.56
0,300,101.83
0,301,102.13
0,302,102.35
0,303,102.82
0,304,102.93
0,305,103.49
0,306,103.66
0,307,104.26
0,308,104.68
0,309,104.99
0,310,105.03
0,311,105.48
0,312,105.99
0,313,106.09
0,314,106.31
0,315,106.57
0,316,106.71
0,317,106.93
0,318,107.13
0,319,107.61
0,320,107.84
0,321,108.08
0,322,108.47
0,323,108.79
0,324,109.14
0,325,109.42
0,326,109.74
0,327,110.11
0,328,110.32
0,329,110.54
0,330,110.96
0,331,111.41
0,332,111.44
0,333,111.66
0,334,112.14
0,335,112.59
0,336,112.68
0,337,112.78
0,338,113.40
0,339,113.55
0,340,113.75
0,341,114.19
0,342,114.25
0,343,114.48
0,344,114.67
0,345,114.84
0,346,115.24
0,347,115.56
0,348,115.86
0,349,116.22
0,350,116.25
0,351,116.74
0,352,117.51
