variable,sort_type,modes,chi2
1.00,hist,1,0.00
1.00,hist,2,0.00
1.00,hist,3,0.00
1.00,hist,4,0.00
1.00,hist,5,0.00
1.00,hist,6,0.00
1.00,hist,7,0.00
1.00,hist,8,0.00
1.00,hist,9,0.00
1.00,hist,10,0.00
1.00,hist,11,0.00
1.00,hist,12,0.00
1.00,hist,13,0.00
1.00,hist,14,0.00
1.00,hist,15,0.00
1.00,hist,16,0.00
1.00,hist,17,0.00
1.00,hist,18,0.00
1.00,hist,19,0.00
1.00,hist,20,0.00
1.00,hist,21,0.00
1.00,hist,22,0.00
1.00,hist,23,0.00
1.00,hist,24,0.00
1.00,hist,25,0.00
1.00,hist,26,0.00
1.00,hist,27,0.00
1.00,hist,28,0.00
1.00,hist,29,0.00
1.00,hist,30,0.00
1.00,hist,31,0.03
1.00,hist,32,0.13
1.00,hist,33,0.30
1.00,hist,34,0.53
1.00,hist,35,0.83
1.00,hist,36,1.20
1.00,hist,37,1.63
1.00,hist,38,2.13
1.00,hist,39,2.70
1.00,hist,40,3.33
1.00,hist,41,4.03
1.00,hist,42,4.80
1.00,hist,43,5.63
1.00,hist,44,6.53
1.00,hist,45,7.50
1.00,hist,46,8.53
1.00,hist,47,9.63
1.00,hist,48,10.80
1.00,hist,49,12.03
1.00,hist,50,13.33
1.00,hist,51,14.70
1.00,hist,52,16.13
1.00,hist,53,17.63
1.00,hist,54,19.20
1.00,hist,55,20.83
1.00,hist,56,22.53
1.00,hist,57,24.30
1.00,hist,58,26.13
1.00,hist,59,28.03
1.00,hist,60,30.00
1.00,hist,61,32.03
1.00,hist,62,34.13
1.00,hist,63,34.13
1.00,hist,64,34.13
1.00,hist,65,34.13
1.00,hist,66,34.13
1.00,hist,67,34.13
1.00,hist,68,34.13
1.00,hist,69,34.13
1.00,hist,70,34.13
1.00,hist,71,34.13
1.00,hist,72,34.13
1.00,hist,73,34.13
1.00,hist,74,34.13
1.00,hist,75,34.13
1.00,hist,76,34.13
1.00,hist,77,34.13
1.00,hist,78,34.13
1.00,hist,79,34.13
1.00,hist,80,34.13
1.00,hist,81,34.13
1.00,hist,82,34.13
1.00,hist,83,34.13
1.00,hist,84,34.13
1.00,hist,85,34.13
1.00,hist,86,34.13
1.00,hist,87,34.13
1.00,hist,88,34.13
1.00,hist,89,50.70
1.00,hist,90,49.65
1.00,hist,91,48.63
1.00,hist,92,47.65
1.00,hist,93,46.70
1.00,hist,94,45.79
1.00,hist,95,44.91
1.00,hist,96,44.06
1.00,hist,97,43.25
1.00,hist,98,42.48
1.00,hist,99,41.74
1.00,hist,100,41.03
1.00,hist,1787,3723.35
5.00,hist,1,0.00
5.00,hist,2,0.00
5.00,hist,3,0.00
5.00,hist,4,0.00
5.00,hist,5,0.00
5.00,hist,6,0.00
5.00,hist,7,0.00
5.00,hist,8,0.00
5.00,hist,9,0.00
5.00,hist,10,0.00
5.00,hist,11,0.00
5.00,hist,12,0.00
5.00,hist,13,0.00
5.00,hist,14,0.00
5.00,hist,15,0.00
5.00,hist,16,0.00
5.00,hist,17,0.00
5.00,hist,18,0.00
5.00,hist,19,0.00
5.00,hist,20,0.00
5.00,hist,21,0.00
5.00,hist,22,0.00
5.00,hist,23,0.00
5.00,hist,24,0.00
5.00,hist,25,0.00
5.00,hist,26,0.00
5.00,hist,27,0.00
5.00,hist,28,0.00
5.00,hist,29,0.00
5.00,hist,30,0.00
5.00,hist,31,0.03
5.00,hist,32,0.13
5.00,hist,33,0.30
5.00,hist,34,0.53
5.00,hist,35,0.83
5.00,hist,36,1.20
5.00,hist,37,1.63
5.00,hist,38,2.13
5.00,hist,39,2.70
5.00,hist,40,3.33
5.00,hist,41,4.03
5.00,hist,42,4.80
5.00,hist,43,5.63
5.00,hist,44,6.53
5.00,hist,45,7.50
5.00,hist,46,8.53
5.00,hist,47,9.63
5.00,hist,48,10.80
5.00,hist,49,12.03
5.00,hist,50,13.33
5.00,hist,51,14.70
5.00,hist,52,16.13
5.00,hist,53,17.63
5.00,hist,54,19.20
5.00,hist,55,20.83
5.00,hist,56,22.53
5.00,hist,57,24.30
5.00,hist,58,26.13
5.00,hist,59,28.03
5.00,hist,60,30.00
5.00,hist,61,32.03
5.00,hist,62,34.13
5.00,hist,63,36.30
5.00,hist,64,38.53
5.00,hist,65,40.83
5.00,hist,66,40.83
5.00,hist,67,40.83
5.00,hist,68,40.83
5.00,hist,69,40.83
5.00,hist,70,40.83
5.00,hist,71,40.83
5.00,hist,72,40.83
5.00,hist,73,40.83
5.00,hist,74,40.83
5.00,hist,75,40.83
5.00,hist,76,40.83
5.00,hist,77,40.83
5.00,hist,78,40.83
5.00,hist,79,40.83
5.00,hist,80,40.83
5.00,hist,81,40.83
5.00,hist,82,40.83
5.00,hist,83,40.83
5.00,hist,84,40.83
5.00,hist,85,40.83
5.00,hist,86,40.83
5.00,hist,87,40.83
5.00,hist,88,40.83
5.00,hist,89,60.76
5.00,hist,90,59.61
5.00,hist,91,58.49
5.00,hist,92,57.40
5.00,hist,93,56.35
5.00,hist,94,55.33
5.00,hist,95,54.35
5.00,hist,96,53.40
5.00,hist,97,52.49
5.00,hist,98,51.61
5.00,hist,99,50.76
5.00,hist,100,49.95
5.00,hist,1787,2631.57
10.00,hist,1,0.00
10.00,hist,2,0.00
10.00,hist,3,0.00
10.00,hist,4,0.00
10.00,hist,5,0.00
10.00,hist,6,0.00
10.00,hist,7,0.00
10.00,hist,8,0.00
10.00,hist,9,0.00
10.00,hist,10,0.00
10.00,hist,11,0.00
10.00,hist,12,0.00
10.00,hist,13,0.00
10.00,hist,14,0.00
10.00,hist,15,0.00
10.00,hist,16,0.00
10.00,hist,17,0.00
10.00,hist,18,0.00
10.00,hist,19,0.00
10.00,hist,20,0.00
10.00,hist,21,0.00
10.00,hist,22,0.00
10.00,hist,23,0.00
10.00,hist,24,0.00
10.00,hist,25,0.00
10.00,hist,26,0.00
10.00,hist,27,0.00
10.00,hist,28,0.00
10.00,hist,29,0.00
10.00,hist,30,0.00
10.00,hist,31,0.03
10.00,hist,32,0.13
10.00,hist,33,0.30
10.00,hist,34,0.53
10.00,hist,35,0.83
10.00,hist,36,1.20
10.00,hist,37,1.63
10.00,hist,38,2.13
10.00,hist,39,2.70
10.00,hist,40,3.33
10.00,hist,41,4.03
10.00,hist,42,4.80
10.00,hist,43,5.63
10.00,hist,44,6.53
10.00,hist,45,7.50
10.00,hist,46,8.53
10.00,hist,47,9.63
10.00,hist,48,10.80
10.00,hist,49,12.03
10.00,hist,50,13.33
10.00,hist,51,14.70
10.00,hist,52,16.13
10.00,hist,53,17.63
10.00,hist,54,19.20
10.00,hist,55,20.83
10.00,hist,56,22.53
10.00,hist,57,24.30
10.00,hist,58,26.13
10.00,hist,59,28.03
10.00,hist,60,30.00
10.00,hist,61,32.03
10.00,hist,62,34.13
10.00,hist,63,36.30
10.00,hist,64,38.53
10.00,hist,65,40.83
10.00,hist,66,43.20
10.00,hist,67,43.20
10.00,hist,68,43.20
10.00,hist,69,43.20
10.00,hist,70,43.20
10.00,hist,71,43.20
10.00,hist,72,43.20
10.00,hist,73,43.20
10.00,hist,74,43.20
10.00,hist,75,43.20
10.00,hist,76,43.20
10.00,hist,77,43.20
10.00,hist,78,43.20
10.00,hist,79,43.20
10.00,hist,80,43.20
10.00,hist,81,43.20
10.00,hist,82,43.20
10.00,hist,83,43.20
10.00,hist,84,43.20
10.00,hist,85,43.20
10.00,hist,86,43.20
10.00,hist,87,43.20
10.00,hist,88,43.20
