variable,sort_type,modes,chi2
7.00,hist,1,0.00
7.00,hist,2,0.00
7.00,hist,3,0.00
7.00,hist,4,0.00
7.00,hist,5,0.00
7.00,hist,6,0.00
7.00,hist,7,0.00
7.00,hist,8,0.00
7.00,hist,9,0.00
7.00,hist,10,0.00
7.00,hist,11,0.00
7.00,hist,12,0.00
7.00,hist,13,0.00
7.00,hist,14,0.00
7.00,hist,15,0.00
7.00,hist,16,0.00
7.00,hist,17,0.00
7.00,hist,18,0.00
7.00,hist,19,0.00
7.00,hist,20,0.00
7.00,hist,21,0.00
7.00,hist,22,0.00
7.00,hist,23,0.00
7.00,hist,24,0.00
7.00,hist,25,0.00
7.00,hist,26,0.00
7.00,hist,27,0.00
7.00,hist,28,0.00
7.00,hist,29,0.00
7.00,hist,30,0.00
7.00,hist,31,0.03
7.00,hist,32,0.13
7.00,hist,33,0.30
7.00,hist,34,0.53
7.00,hist,35,0.83
7.00,hist,36,1.20
7.00,hist,37,1.63
7.00,hist,38,2.13
7.00,hist,39,2.70
7.00,hist,40,3.33
7.00,hist,41,4.03
7.00,hist,42,4.80
7.00,hist,43,5.63
7.00,hist,44,6.53
7.00,hist,45,7.50
7.00,hist,46,8.53
7.00,hist,47,9.63
7.00,hist,48,10.80
7.00,hist,49,12.03
7.00,hist,50,13.33
7.00,hist,51,14.70
7.00,hist,52,16.13
7.00,hist,53,17.63
7.00,hist,54,19.20
7.00,hist,55,20.83
7.00,hist,56,22.53
7.00,hist,57,24.30
7.00,hist,58,26.13
7.00,hist,59,28.03
7.00,hist,60,30.00
7.00,hist,61,32.03
7.00,hist,62,34.13
7.00,hist,63,34.13
7.00,hist,64,34.13
7.00,hist,65,34.13
7.00,hist,66,34.13
7.00,hist,67,34.13
7.00,hist,68,34.13
7.00,hist,69,34.13
7.00,hist,70,34.13
7.00,hist,71,34.13
7.00,hist,72,34.13
7.00,hist,73,34.13
7.00,hist,74,34.13
7.00,hist,75,34.13
7.00,hist,76,34.13
7.00,hist,77,34.13
7.00,hist,78,34.13
7.00,hist,79,34.13
7.00,hist,80,34.13
7.00,hist,81,34.13
7.00,hist,82,34.13
7.00,hist,83,34.13
7.00,hist,84,34.13
7.00,hist,85,34.13
7.00,hist,86,34.13
7.00,hist,87,34.13
7.00,hist,88,34.13
7.00,hist,89,50.70
7.00,hist,90,49.65
7.00,hist,91,48.63
7.00,hist,92,47.65
7.00,hist,93,46.70
7.00,hist,94,45.79
7.00,hist,95,44.91
