form_idx,mode,eigval
0,1,2.25
0,2,2.60
0,3,3.64
0,4,3.85
0,5,4.14
0,6,4.61
0,7,4.94
0,8,5.53
0,9,5.71
0,10,6.29
0,11,6.52
0,12,7.25
0,13,7.89
0,14,8.66
0,15,9.29
0,16,9.39
0,17,10.03
0,18,10.11
0,19,10.46
0,20,10.67
0,21,10.82
0,22,11.95
0,23,12.19
0,24,12.52
0,25,13.06
0,26,13.37
0,27,13.68
0,28,14.05
0,29,14.48
0,30,14.76
0,31,15.13
0,32,15.33
0,33,15.47
0,34,15.85
0,35,16.29
0,36,16.78
0,37,16.99
0,38,17.32
0,39,17.37
0,40,17.99
0,41,18.20
0,42,18.39
0,43,18.84
0,44,19.20
0,45,19.34
0,46,19.47
0,47,20.13
0,48,20.26
0,49,20.53
0,50,20.72
0,51,20.85
0,52,21.07
0,53,21.35
0,54,21.66
0,55,21.79
0,56,21.99
0,57,22.20
0,58,22.68
0,59,22.91
0,60,23.38
0,61,23.69
0,62,23.73
0,63,24.21
0,64,24.38
0,65,24.62
0,66,24.85
0,67,24.96
0,68,25.08
0,69,25.56
0,70,25.67
0,71,26.02
0,72,26.11
0,73,26.70
0,74,26.83
0,75,26.90
0,76,27.08
0,77,27.44
0,78,27.65
0,79,27.93
0,80,28.28
0,81,28.38
0,82,28.60
0,83,28.73
0,84,29.09
0,85,29.12
0,86,29.53
0,87,29.80
0,88,29.94
0,89,30.35
0,90,30.47
0,91,30.63
0,92,30.67
0,93,30.95
0,94,31.34
0,95,31.54
0,96,31.79
0,97,31.94
0,98,32.10
0,99,32.28
0,100,32.35
0,101,32.73
0,102,32.91
0,103,32.94
0,104,33.67
0,105,33.72
0,106,33.90
0,107,33.95
0,108,34.21
0,109,34.39
0,110,34.51
0,111,34.59
0,112,35.11
0,113,35.27
0,114,35.45
0,115,35.72
0,116,35.81
0,117,36.04
0,118,36.34
0,119,36.53
0,120,36.72
0,121,36.86
0,122,37.11
0,123,37.32
0,124,37.47
0,125,37.56
0,126,37.87
0,127,37.98
0,128,38.16
0,129,38.54
0,130,38.63
0,131,38.84
0,132,39.20
0,133,39.31
0,134,39.48
0,135,39.72
0,136,39.81
0,137,40.10
0,138,40.31
0,139,40.49
0,140,40.70
0,141,40.81
0,142,41.01
0,143,41.30
0,144,41.47
0,145,41.74
0,146,42.01
0,147,42.19
0,148,42.25
0,149,42.29
0,150,42.68
0,151,43.00
0,152,43.09
0,153,43.17
0,154,43.25
0,155,43.57
0,156,43.72
0,157,43.94
0,158,44.03
0,159,44.22
