variable,sort_type,modes,chi2
7.50,hist,1,0.00
7.50,hist,2,0.00
7.50,hist,3,0.00
7.50,hist,4,0.00
7.50,hist,5,0.00
7.50,hist,6,0.00
7.50,hist,7,0.00
7.50,hist,8,0.00
7.50,hist,9,0.00
7.50,hist,10,0.00
7.50,hist,11,0.00
7.50,hist,12,0.00
7.50,hist,13,0.00
7.50,hist,14,0.00
7.50,hist,15,0.00
7.50,hist,16,0.00
7.50,hist,17,0.00
7.50,hist,18,0.00
7.50,hist,19,0.00
7.50,hist,20,0.00
7.50,hist,21,0.00
7.50,hist,22,0.00
7.50,hist,23,0.00
7.50,hist,24,0.00
7.50,hist,25,0.00
7.50,hist,26,0.00
7.50,hist,27,0.00
7.50,hist,28,0.00
7.50,hist,29,0.00
7.50,hist,30,0.00
7.50,hist,31,0.00
7.50,hist,32,0.00
7.50,hist,33,0.00
7.50,hist,34,0.00
7.50,hist,35,0.00
7.50,hist,36,0.00
7.50,hist,37,0.00
7.50,hist,38,0.00
7.50,hist,39,0.00
7.50,hist,40,0.00
7.50,hist,41,0.00
7.50,hist,42,0.00
7.50,hist,43,0.02
7.50,hist,44,0.02
7.50,hist,45,0.02
7.50,hist,46,0.02
7.50,hist,47,0.02
7.50,hist,48,0.02
7.50,hist,49,0.02
7.50,hist,50,0.02
7.50,hist,51,0.02
7.50,hist,52,0.02
7.50,hist,53,0.02
7.50,hist,54,0.02
7.50,hist,55,0.02
7.50,hist,56,0.02
7.50,hist,57,0.02
7.50,hist,58,0.02
7.50,hist,59,0.02
7.50,hist,60,0.02
7.50,hist,61,0.02
7.50,hist,62,0.02
7.50,hist,63,0.02
7.50,hist,64,0.02
7.50,hist,65,0.02
7.50,hist,66,0.02
7.50,hist,67,0.02
7.50,hist,68,0.02
7.50,hist,69,0.02
7.50,hist,70,0.02
7.50,hist,71,0.02
7.50,hist,72,0.02
7.50,hist,73,0.02
7.50,hist,74,0.02
7.50,hist,75,0.02
7.50,hist,76,0.02
7.50,hist,77,0.02
7.50,hist,78,0.02
7.50,hist,79,0.02
7.50,hist,80,0.02
7.50,hist,81,0.02
7.50,hist,82,0.02
7.50,hist,83,0.02
7.50,hist,84,0.02
7.50,hist,85,0.02
7.50,hist,86,0.02
7.50,hist,87,0.02
7.50,hist,88,0.02
7.50,hist,89,0.02
7.50,hist,90,0.02
7.50,hist,91,0.02
7.50,hist,92,0.02
7.50,hist,93,0.02
7.50,hist,94,0.02
7.50,hist,95,0.02
7.50,hist,96,0.02
7.50,hist,97,0.02
7.50,hist,98,0.02
7.50,hist,99,0.02
7.50,hist,100,0.02
7.50,hist,1176,723.53
8.00,hist,1,0.00
8.00,hist,2,0.00
8.00,hist,3,0.00
8.00,hist,4,0.00
8.00,hist,5,0.00
8.00,hist,6,0.00
8.00,hist,7,0.00
8.00,hist,8,0.00
8.00,hist,9,0.00
8.00,hist,10,0.00
8.00,hist,11,0.00
8.00,hist,12,0.00
8.00,hist,13,0.00
8.00,hist,14,0.00
8.00,hist,15,0.00
8.00,hist,16,0.00
8.00,hist,17,0.00
8.00,hist,18,0.00
8.00,hist,19,0.00
8.00,hist,20,0.00
8.00,hist,21,0.00
8.00,hist,22,0.00
8.00,hist,23,0.00
8.00,hist,24,0.00
8.00,hist,25,0.00
8.00,hist,26,0.00
8.00,hist,27,0.00
8.00,hist,28,0.00
8.00,hist,29,0.00
8.00,hist,30,0.00
8.00,hist,31,0.00
8.00,hist,32,0.00
8.00,hist,33,0.00
8.00,hist,34,0.00
8.00,hist,35,0.00
8.00,hist,36,0.00
8.00,hist,37,0.00
8.00,hist,38,0.00
8.00,hist,39,0.00
8.00,hist,40,0.00
8.00,hist,41,0.00
8.00,hist,42,0.00
8.00,hist,43,0.10
8.00,hist,44,0.10
8.00,hist,45,0.10
8.00,hist,46,0.10
8.00,hist,47,0.10
8.00,hist,48,0.10
8.00,hist,49,0.10
8.00,hist,50,0.10
8.00,hist,51,0.10
8.00,hist,52,0.10
8.00,hist,53,0.10
8.00,hist,54,0.10
8.00,hist,55,0.10
8.00,hist,56,0.10
8.00,hist,57,0.10
8.00,hist,58,0.10
8.00,hist,59,0.10
8.00,hist,60,0.10
8.00,hist,61,0.10
8.00,hist,62,0.10
8.00,hist,63,0.10
8.00,hist,64,0.10
8.00,hist,65,0.10
8.00,hist,66,0.10
8.00,hist,67,0.10
8.00,hist,68,0.10
8.00,hist,69,0.10
8.00,hist,70,0.10
8.00,hist,71,0.10
8.00,hist,72,0.10
8.00,hist,73,0.10
8.00,hist,74,0.10
8.00,hist,75,0.10
8.00,hist,76,0.10
8.00,hist,77,0.10
8.00,hist,78,0.10
8.00,hist,79,0.10
8.00,hist,80,0.10
8.00,hist,81,0.10
8.00,hist,82,0.10
8.00,hist,83,0.10
8.00,hist,84,0.10
8.00,hist,85,0.10
8.00,hist,86,0.10
8.00,hist,87,0.10
8.00,hist,88,0.10
8.00,hist,89,0.10
8.00,hist,90,0.10
8.00,hist,91,0.10
8.00,hist,92,0.10
8.00,hist,93,0.10
8.00,hist,94,0.10
8.00,hist,95,0.10
8.00,hist,96,0.10
8.00,hist,97,0.10
8.00,hist,98,0.10
8.00,hist,99,0.10
8.00,hist,100,0.10
8.00,hist,1176,847.37
8.50,hist,1,0.00
8.50,hist,2,0.00
8.50,hist,3,0.00
8.50,hist,4,0.00
8.50,hist,5,0.00
8.50,hist,6,0.00
8.50,hist,7,0.00
8.50,hist,8,0.00
8.50,hist,9,0.00
8.50,hist,10,0.00
8.50,hist,11,0.00
8.50,hist,12,0.00
8.50,hist,13,0.00
8.50,hist,14,0.00
8.50,hist,15,0.00
8.50,hist,16,0.00
8.50,hist,17,0.00
8.50,hist,18,0.00
8.50,hist,19,0.00
8.50,hist,20,0.00
8.50,hist,21,0.00
8.50,hist,22,0.00
8.50,hist,23,0.00
8.50,hist,24,0.00
8.50,hist,25,0.00
8.50,hist,26,0.00
8.50,hist,27,0.00
8.50,hist,28,0.00
8.50,hist,29,0.00
8.50,hist,30,0.00
8.50,hist,31,0.00
8.50,hist,32,0.00
8.50,hist,33,0.00
8.50,hist,34,0.00
8.50,hist,35,0.00
8.50,hist,36,0.00
8.50,hist,37,0.00
8.50,hist,38,0.00
8.50,hist,39,0.00
8.50,hist,40,0.00
8.50,hist,41,0.00
8.50,hist,42,0.00
8.50,hist,43,0.02
8.50,hist,44,0.10
8.50,hist,45,0.21
8.50,hist,46,0.38
8.50,hist,47,0.60
8.50,hist,48,0.60
8.50,hist,49,0.60
8.50,hist,50,0.60
8.50,hist,51,0.60
8.50,hist,52,0.60
8.50,hist,53,0.60
8.50,hist,54,0.60
8.50,hist,55,0.60
8.50,hist,56,0.60
8.50,hist,57,0.60
8.50,hist,58,0.60
8.50,hist,59,0.60
8.50,hist,60,0.60
8.50,hist,61,0.60
8.50,hist,62,0.60
8.50,hist,63,0.60
8.50,hist,64,0.60
8.50,hist,65,0.60
8.50,hist,66,0.60
