mode,eigval
1,1.612329e+00
2,2.602651e+00
3,2.915231e+00
4,4.186946e+00
5,5.221945e+00
6,5.348534e+00
7,6.769751e+00
8,7.201628e+00
9,7.594855e+00
10,8.398339e+00
11,9.201970e+00
12,9.663802e+00
13,9.903347e+00
14,1.076651e+01
15,1.148019e+01
16,1.190878e+01
17,1.230978e+01
18,1.256488e+01
19,1.283380e+01
20,1.350552e+01
21,1.390240e+01
22,1.462947e+01
23,1.536327e+01
24,1.592632e+01
25,1.602068e+01
26,1.665406e+01
27,1.770072e+01
28,1.828988e+01
29,1.866651e+01
30,1.912344e+01
31,1.956861e+01
32,2.022562e+01
33,2.031865e+01
34,2.084882e+01
35,2.115810e+01
36,2.179909e+01
37,2.212054e+01
38,2.225493e+01
39,2.307825e+01
40,2.349691e+01
41,2.405777e+01
42,2.436088e+01
43,2.492793e+01
44,2.508229e+01
45,2.542463e+01
46,2.593117e+01
47,2.620550e+01
48,2.660350e+01
49,2.736798e+01
50,2.755203e+01
51,2.761117e+01
52,2.813484e+01
53,2.838995e+01
54,2.883970e+01
55,2.960399e+01
56,3.001028e+01
57,3.024796e+01
58,3.068376e+01
59,3.110014e+01
60,3.140548e+01
61,3.175883e+01
62,3.202861e+01
63,3.231202e+01
64,3.272897e+01
65,3.288371e+01
66,3.297733e+01
67,3.330101e+01
68,3.387415e+01
69,3.446133e+01
70,3.475559e+01
71,3.538960e+01
72,3.557092e+01
73,3.591150e+01
74,3.629767e+01
75,3.683581e+01
76,3.693718e+01
77,3.737319e+01
78,3.754555e+01
79,3.778646e+01
80,3.801342e+01
81,3.853616e+01
82,3.881220e+01
83,3.938253e+01
84,3.992008e+01
85,4.021576e+01
86,4.047691e+01
87,4.057400e+01
88,4.124250e+01
89,4.155338e+01
90,4.167464e+01
91,4.197716e+01
92,4.223826e+01
93,4.268081e+01
94,4.281225e+01
95,4.314458e+01
96,4.359930e+01
97,4.382442e+01
98,4.412523e+01
99,4.480829e+01
100,4.501128e+01
101,4.506551e+01
102,4.549746e+01
103,4.559053e+01
104,4.581924e+01
105,4.637756e+01
106,4.658788e+01
107,4.701104e+01
108,4.701818e+01
109,4.743687e+01
110,4.756834e+01
111,4.779373e+01
112,4.812641e+01
113,4.875471e+01
114,4.892954e+01
115,4.909729e+01
116,4.949210e+01
117,4.980990e+01
118,5.003843e+01
119,5.041351e+01
120,5.080234e+01
121,5.102193e+01
122,5.119501e+01
123,5.167003e+01
124,5.192541e+01
125,5.246925e+01
126,5.260523e+01
127,5.335445e+01
128,5.346867e+01
129,5.366944e+01
130,5.393384e+01
131,5.442834e+01
132,5.455959e+01
133,5.494496e+01
134,5.537005e+01
135,5.551738e+01
136,5.575074e+01
137,5.600045e+01
138,5.640864e+01
139,5.680165e+01
140,5.702327e+01
141,5.738400e+01
142,5.741913e+01
143,5.773076e+01
144,5.840223e+01
145,5.871271e+01
146,5.876072e+01
147,5.917283e+01
148,5.930153e+01
149,5.986132e+01
150,5.995366e+01
151,6.029370e+01
152,6.058802e+01
153,6.093889e+01
154,6.144293e+01
155,6.159648e+01
156,6.184862e+01
157,6.195410e+01
158,6.256132e+01
159,6.276481e+01
160,6.300945e+01
161,6.331536e+01
162,6.357118e+01
163,6.406159e+01
164,6.433673e+01
165,6.462425e+01
166,6.488968e+01
167,6.516245e+01
168,6.560616e+01
169,6.600870e+01
170,6.619402e+01
171,6.670319e+01
172,6.682017e+01
173,6.726850e+01
174,6.747637e+01
175,6.776710e+01
176,6.789250e+01
177,6.811174e+01
178,6.842155e+01
179,6.886122e+01
180,6.907775e+01
181,6.917235e+01
182,6.972840e+01
183,6.991680e+01
184,7.027559e+01
185,7.045850e+01
186,7.060162e+01
187,7.083106e+01
188,7.118764e+01
189,7.148421e+01
190,7.203721e+01
191,7.233065e+01
192,7.252960e+01
193,7.264848e+01
194,7.286535e+01
195,7.325498e+01
196,7.352927e+01
197,7.419771e+01
198,7.432063e+01
199,7.463670e+01
200,7.469526e+01
201,7.500797e+01
202,7.531597e+01
203,7.562087e+01
204,7.587432e+01
205,7.618709e+01
206,7.643671e+01
207,7.650885e+01
208,7.684369e+01
209,7.720078e+01
210,7.749401e+01
211,7.780662e+01
212,7.798580e+01
213,7.850053e+01
214,7.867217e+01
215,7.889837e+01
216,7.920583e+01
217,7.943967e+01
218,7.975524e+01
219,7.978495e+01
220,8.004380e+01
221,8.088274e+01
222,8.106390e+01
223,8.140017e+01
224,8.149567e+01
225,8.159876e+01
226,8.196544e+01
227,8.216181e+01
228,8.281612e+01
229,8.296046e+01
230,8.304556e+01
231,8.312888e+01
232,8.373617e+01
233,8.400838e+01
234,8.438499e+01
235,8.454240e+01
236,8.488348e+01
237,8.509130e+01
238,8.524218e+01
239,8.546140e+01
240,8.585474e+01
241,8.627189e+01
242,8.666961e+01
243,8.683166e+01
244,8.697978e+01
245,8.735996e+01
246,8.776104e+01
247,8.795882e+01
248,8.803896e+01
249,8.839223e+01
250,8.853449e+01
251,8.916225e+01
252,8.942268e+01
253,8.966502e+01
254,9.002384e+01
255,9.016331e+01
256,9.046833e+01
257,9.091910e+01
258,9.148496e+01
259,9.167175e+01
260,9.192180e+01
261,9.205768e+01
262,9.216451e+01
263,9.263243e+01
264,9.295505e+01
265,9.312202e+01
266,9.336156e+01
267,9.386672e+01
268,9.422708e+01
269,9.449284e+01
270,9.470433e+01
271,9.488008e+01
272,9.525115e+01
273,9.551370e+01
274,9.579136e+01
275,9.622149e+01
276,9.664385e+01
277,9.688820e+01
278,9.721771e+01
279,9.734084e+01
280,9.750486e+01
281,9.760325e+01
282,9.793903e+01
283,9.812564e+01
284,9.834283e+01
285,9.874793e+01
286,9.924066e+01
287,9.932871e+01
288,9.977795e+01
289,1.000487e+02
290,1.002050e+02
291,1.007496e+02
292,1.011042e+02
293,1.013569e+02
294,1.015595e+02
295,1.019206e+02
296,1.021087e+02
297,1.022218e+02
298,1.024088e+02
299,1.025807e+02
300,1.029817e+02
301,1.033374e+02
302,1.036216e+02
303,1.038478e+02
304,1.040601e+02
305,1.046786e+02
306,1.050328e+02
307,1.052553e+02
308,1.054171e+02
309,1.056940e+02
310,1.060154e+02
311,1.062906e+02
312,1.064979e+02
313,1.066025e+02
314,1.069909e+02
315,1.075222e+02
316,1.078025e+02
317,1.079375e+02
318,1.083063e+02
319,1.087676e+02
320,1.093310e+02
321,1.096200e+02
322,1.098451e+02
323,1.100362e+02
324,1.101444e+02
325,1.103546e+02
326,1.106385e+02
327,1.109609e+02
328,1.114345e+02
329,1.120260e+02
330,1.121279e+02
331,1.124231e+02
332,1.127592e+02
333,1.128990e+02
334,1.131029e+02
335,1.136220e+02
336,1.138027e+02
337,1.142701e+02
338,1.144665e+02
339,1.147880e+02
340,1.148624e+02
341,1.151970e+02
342,1.154518e+02
343,1.155575e+02
344,1.161509e+02
345,1.166705e+02
346,1.168122e+02
347,1.172283e+02
348,1.174210e+02
349,1.177895e+02
350,1.180199e+02
351,1.182589e+02
352,1.185576e+02
353,1.188754e+02
354,1.191207e+02
355,1.192120e+02
356,1.197244e+02
357,1.201077e+02
358,1.204562e+02
359,1.206781e+02
360,1.209370e+02
361,1.211100e+02
362,1.214506e+02
363,1.216431e+02
364,1.220440e+02
365,1.222427e+02
366,1.225858e+02
367,1.232502e+02
368,1.234442e+02
369,1.237231e+02
370,1.238916e+02
371,1.242556e+02
372,1.243709e+02
373,1.248514e+02
374,1.249521e+02
375,1.255855e+02
376,1.258734e+02
377,1.261251e+02
378,1.264763e+02
379,1.267788e+02
380,1.271981e+02
381,1.278916e+02
382,1.280726e+02
383,1.281164e+02
384,1.283954e+02
385,1.287126e+02
386,1.290222e+02
387,1.294895e+02
388,1.295840e+02
389,1.303817e+02
390,1.304546e+02
391,1.306339e+02
392,1.311133e+02
393,1.314291e+02
394,1.316720e+02
395,1.318611e+02
396,1.320660e+02
397,1.322076e+02
398,1.327008e+02
399,1.328726e+02
400,1.333348e+02
401,1.334384e+02
402,1.337369e+02
403,1.343489e+02
404,1.345266e+02
405,1.346755e+02
406,1.349240e+02
407,1.350897e+02
408,1.354659e+02
409,1.359031e+02
410,1.362270e+02
411,1.364156e+02
412,1.367417e+02
413,1.372170e+02
414,1.376272e+02
415,1.380552e+02
416,1.384089e+02
417,1.385924e+02
418,1.390277e+02
419,1.394738e+02
420,1.396976e+02
421,1.401610e+02
422,1.404396e+02
423,1.408596e+02
424,1.412646e+02
425,1.414289e+02
426,1.420354e+02
427,1.424657e+02
428,1.426340e+02
429,1.433446e+02
430,1.434214e+02
431,1.438571e+02
432,1.440701e+02
433,1.444131e+02
434,1.446784e+02
435,1.449769e+02
436,1.452408e+02
437,1.454822e+02
438,1.456893e+02
439,1.463381e+02
440,1.469113e+02
441,1.471972e+02
442,1.477360e+02
443,1.479876e+02
444,1.483546e+02
445,1.485491e+02
446,1.488816e+02
447,1.492208e+02
448,1.497648e+02
449,1.498091e+02
450,1.499993e+02
451,1.505114e+02
452,1.508724e+02
453,1.512643e+02
454,1.515678e+02
455,1.520921e+02
456,1.523898e+02
457,1.528348e+02
458,1.532062e+02
459,1.536074e+02
460,1.541194e+02
461,1.543575e+02
462,1.546368e+02
463,1.547606e+02
464,1.553235e+02
465,1.558387e+02
466,1.562216e+02
467,1.565937e+02
468,1.570584e+02
469,1.575392e+02
470,1.576815e+02
471,1.580187e+02
472,1.584521e+02
473,1.589313e+02
474,1.591679e+02
475,1.594182e+02
476,1.598516e+02
477,1.601980e+02
478,1.604618e+02
479,1.606936e+02
480,1.608858e+02
481,1.616104e+02
482,1.616773e+02
483,1.620164e+02
484,1.623052e+02
485,1.631136e+02
486,1.633240e+02
487,1.636349e+02
488,1.642253e+02
489,1.645776e+02
490,1.650796e+02
491,1.651443e+02
492,1.658122e+02
493,1.660306e+02
494,1.662023e+02
495,1.664327e+02
496,1.671759e+02
497,1.672744e+02
498,1.679339e+02
499,1.683560e+02
500,1.687316e+02
501,1.689879e+02
502,1.694235e+02
503,1.695293e+02
504,1.702738e+02
505,1.708242e+02
506,1.710821e+02
507,1.714156e+02
508,1.720826e+02
509,1.722197e+02
510,1.726995e+02
511,1.728416e+02
512,1.733155e+02
513,1.737975e+02
514,1.741480e+02
515,1.746501e+02
516,1.748889e+02
517,1.754482e+02
518,1.756795e+02
519,1.764796e+02
520,1.767036e+02
521,1.770423e+02
522,1.774879e+02
523,1.778706e+02
524,1.784973e+02
525,1.787452e+02
526,1.792389e+02
527,1.795169e+02
528,1.796807e+02
529,1.801960e+02
530,1.806355e+02
531,1.809843e+02
532,1.817616e+02
533,1.820325e+02
534,1.825568e+02
535,1.827796e+02
536,1.831453e+02
537,1.838589e+02
538,1.840652e+02
539,1.846970e+02
540,1.849456e+02
541,1.854759e+02
542,1.862455e+02
543,1.863000e+02
544,1.867225e+02
545,1.869930e+02
546,1.873203e+02
547,1.877515e+02
548,1.880829e+02
549,1.886229e+02
550,1.891145e+02
551,1.894070e+02
552,1.901442e+02
553,1.903141e+02
554,1.908004e+02
555,1.911958e+02
556,1.914972e+02
557,1.917167e+02
558,1.919722e+02
559,1.927121e+02
560,1.932927e+02
561,1.934986e+02
562,1.939003e+02
563,1.942778e+02
564,1.954377e+02
565,1.955967e+02
566,1.957067e+02
567,1.961766e+02
568,1.966488e+02
569,1.969137e+02
570,1.972512e+02
571,1.978254e+02
572,1.988341e+02
573,1.991766e+02
574,1.993444e+02
575,1.999924e+02
576,2.002422e+02
577,2.008113e+02
578,2.012990e+02
579,2.018254e+02
580,2.022669e+02
581,2.026791e+02
582,2.027061e+02
583,2.036236e+02
584,2.041281e+02
585,2.046912e+02
586,2.051604e+02
587,2.053718e+02
588,2.064092e+02
589,2.068037e+02
590,2.070270e+02
591,2.074017e+02
592,2.075533e+02
593,2.079460e+02
594,2.084324e+02
595,2.088075e+02
596,2.095821e+02
597,2.098807e+02
598,2.100223e+02
599,2.106441e+02
600,2.111928e+02
601,2.116530e+02
602,2.120228e+02
603,2.122801e+02
604,2.132811e+02
605,2.134747e+02
606,2.137914e+02
607,2.144891e+02
608,2.148341e+02
609,2.153174e+02
610,2.156512e+02
611,2.164233e+02
612,2.166087e+02
613,2.171070e+02
614,2.173938e+02
615,2.179372e+02
616,2.181104e+02
617,2.190983e+02
618,2.196185e+02
619,2.197500e+02
620,2.202969e+02
621,2.208506e+02
622,2.215552e+02
623,2.222717e+02
624,2.225766e+02
625,2.231262e+02
626,2.237542e+02
627,2.242753e+02
628,2.247217e+02
629,2.250838e+02
630,2.251945e+02
631,2.256024e+02
632,2.260705e+02
633,2.274954e+02
634,2.276831e+02
635,2.281628e+02
636,2.283332e+02
637,2.287929e+02
638,2.296129e+02
639,2.296769e+02
640,2.306390e+02
641,2.313920e+02
642,2.316105e+02
643,2.323445e+02
644,2.325025e+02
645,2.325614e+02
646,2.327516e+02
647,2.334918e+02
648,2.341976e+02
649,2.345862e+02
650,2.350662e+02
651,2.356401e+02
652,2.358459e+02
653,2.362224e+02
654,2.366670e+02
655,2.370583e+02
656,2.377063e+02
657,2.380688e+02
658,2.385978e+02
659,2.393512e+02
660,2.396947e+02
661,2.406515e+02
662,2.407922e+02
663,2.410291e+02
664,2.419185e+02
665,2.424868e+02
666,2.432342e+02
667,2.437588e+02
668,2.440432e+02
669,2.444652e+02
670,2.452922e+02
671,2.454126e+02
672,2.460092e+02
673,2.463368e+02
674,2.468100e+02
675,2.476744e+02
676,2.486046e+02
677,2.492663e+02
678,2.495952e+02
679,2.503108e+02
680,2.505374e+02
681,2.509849e+02
682,2.514934e+02
683,2.526376e+02
684,2.526780e+02
685,2.534413e+02
686,2.537189e+02
687,2.543613e+02
688,2.547529e+02
689,2.549571e+02
690,2.554127e+02
691,2.564709e+02
692,2.570765e+02
693,2.574144e+02
694,2.580190e+02
695,2.591852e+02
696,2.593361e+02
697,2.595793e+02
698,2.601517e+02
699,2.610549e+02
700,2.613798e+02
701,2.616520e+02
702,2.620689e+02
703,2.625527e+02
704,2.628253e+02
705,2.641709e+02
706,2.651010e+02
707,2.655497e+02
708,2.657430e+02
709,2.663858e+02
710,2.670477e+02
711,2.673333e+02
712,2.679899e+02
713,2.687973e+02
714,2.692496e+02
715,2.701586e+02
716,2.702692e+02
717,2.711699e+02
718,2.721186e+02
719,2.724456e+02
720,2.729597e+02
721,2.735739e+02
722,2.740762e+02
723,2.752725e+02
724,2.757746e+02
725,2.761359e+02
726,2.765295e+02
727,2.770903e+02
728,2.777893e+02
729,2.782071e+02
730,2.788000e+02
731,2.791197e+02
732,2.797048e+02
733,2.807146e+02
734,2.815678e+02
735,2.820426e+02
736,2.829154e+02
737,2.840018e+02
738,2.844021e+02
739,2.848684e+02
740,2.856294e+02
741,2.857936e+02
742,2.872512e+02
743,2.875103e+02
744,2.882832e+02
745,2.890887e+02
746,2.896927e+02
747,2.904936e+02
748,2.910215e+02
749,2.913135e+02
750,2.926248e+02
751,2.935246e+02
752,2.936611e+02
753,2.947963e+02
754,2.958072e+02
755,2.960581e+02
756,2.965244e+02
757,2.975729e+02
758,2.979101e+02
759,2.992536e+02
760,2.998456e+02
761,3.004673e+02
762,3.009526e+02
763,3.019929e+02
764,3.030709e+02
765,3.036872e+02
766,3.044635e+02
767,3.052727e+02
768,3.059025e+02
769,3.068961e+02
770,3.075694e+02
771,3.092047e+02
772,3.092829e+02
773,3.103135e+02
774,3.112241e+02
775,3.121571e+02
776,3.131183e+02
777,3.135332e+02
778,3.140220e+02
779,3.144434e+02
780,3.160862e+02
781,3.171827e+02
782,3.179951e+02
783,3.193448e+02
784,3.200990e+02
785,3.211431e+02
786,3.218859e+02
787,3.229324e+02
788,3.238377e+02
789,3.240075e+02
790,3.258055e+02
791,3.266034e+02
792,3.274653e+02
793,3.284063e+02
794,3.289899e+02
795,3.310139e+02
796,3.320238e+02
797,3.341521e+02
798,3.352259e+02
799,3.359237e+02
800,3.373804e+02
801,3.392928e+02
802,3.401273e+02
803,3.416107e+02
804,3.427992e+02
805,3.449431e+02
806,3.464057e+02
807,3.466793e+02
808,3.487606e+02
809,3.514232e+02
810,3.530470e+02
811,3.548884e+02
812,3.582975e+02
813,3.605814e+02
814,3.633521e+02
815,3.643525e+02
816,3.680884e+02
817,3.705171e+02
818,3.712636e+02
819,3.739416e+02
820,3.758211e+02
821,3.772462e+02
822,3.789942e+02
823,3.815185e+02
824,3.841036e+02
825,3.860098e+02
