frame_number,rmsd
1,8.293311e-01
2,8.824890e-01
3,9.566444e-01
4,9.028872e-01
5,8.466817e-01
6,7.930646e-01
7,8.334367e-01
8,8.981052e-01
9,9.664181e-01
10,1.041168e+00
11,1.012425e+00
12,1.059253e+00
13,1.111210e+00
14,1.156436e+00
15,1.087290e+00
16,1.057457e+00
17,1.052633e+00
18,9.833109e-01
19,1.071039e+00
20,1.044888e+00
21,1.036062e+00
22,1.095501e+00
23,1.000154e+00
24,9.733042e-01
25,9.553328e-01
26,9.644536e-01
27,1.067616e+00
28,1.128876e+00
29,1.181191e+00
30,1.176700e+00
31,1.322350e+00
32,1.275739e+00
33,1.174844e+00
34,1.157415e+00
35,1.264800e+00
36,1.318453e+00
37,1.320861e+00
38,1.276038e+00
39,1.358203e+00
40,1.246070e+00
41,1.243604e+00
42,1.217239e+00
43,1.196389e+00
44,1.084045e+00
45,1.098713e+00
46,1.101693e+00
47,1.304301e+00
48,1.310710e+00
49,1.447067e+00
50,1.381458e+00
51,1.412753e+00
52,1.332086e+00
53,1.500797e+00
54,1.469199e+00
55,1.644896e+00
56,1.589794e+00
57,1.639730e+00
58,1.546847e+00
59,1.588482e+00
60,1.606172e+00
61,1.685883e+00
62,1.733995e+00
63,1.658585e+00
64,1.726573e+00
65,1.807482e+00
66,1.794953e+00
67,1.503267e+00
68,1.474937e+00
69,1.530850e+00
70,1.632699e+00
71,1.638372e+00
72,1.589662e+00
73,1.621937e+00
74,1.555070e+00
75,1.478098e+00
76,1.507337e+00
77,1.543704e+00
78,1.520101e+00
79,1.500076e+00
80,1.502048e+00
81,1.529333e+00
82,1.498575e+00
83,1.521720e+00
84,1.621735e+00
85,1.649655e+00
86,1.605171e+00
87,1.582226e+00
88,1.633361e+00
89,1.651983e+00
90,1.541453e+00
91,1.484639e+00
92,1.372831e+00
93,1.440102e+00
94,1.520384e+00
95,1.490327e+00
96,1.590473e+00
97,1.628546e+00
98,1.609657e+00
99,1.608388e+00
100,1.493128e+00
101,1.460827e+00
102,1.619203e+00
103,1.460280e+00
104,1.475085e+00
105,1.419236e+00
106,1.383727e+00
107,1.242485e+00
108,1.259342e+00
109,1.336723e+00
110,1.339911e+00
111,1.383053e+00
112,1.464557e+00
113,1.470917e+00
114,1.582184e+00
115,1.671435e+00
116,1.611496e+00
117,1.735102e+00
118,1.704991e+00
119,1.600492e+00
120,1.536616e+00
121,1.421325e+00
122,1.433292e+00
123,1.489033e+00
124,1.552522e+00
125,1.650387e+00
126,1.575398e+00
127,1.713620e+00
128,1.796948e+00
129,1.688099e+00
130,1.700832e+00
131,1.710119e+00
132,1.752339e+00
133,1.721070e+00
134,1.748225e+00
135,1.891948e+00
136,1.846180e+00
137,2.009935e+00
138,1.908557e+00
139,1.964186e+00
140,1.945807e+00
141,1.828946e+00
142,1.857084e+00
143,1.809301e+00
144,1.848211e+00
145,1.887866e+00
146,1.810422e+00
147,1.895041e+00
148,1.869005e+00
149,1.764149e+00
150,1.816881e+00
151,1.730075e+00
152,1.713175e+00
153,1.713920e+00
154,1.605787e+00
155,1.553855e+00
156,1.494885e+00
157,1.509866e+00
158,1.355437e+00
159,1.533213e+00
160,1.413698e+00
161,1.419753e+00
162,1.480148e+00
163,1.420247e+00
164,1.463506e+00
165,1.547242e+00
166,1.656735e+00
167,1.836824e+00
168,1.809730e+00
169,1.655897e+00
170,1.692070e+00
171,1.659332e+00
172,1.787654e+00
173,1.717554e+00
174,1.773705e+00
175,1.784552e+00
176,1.682400e+00
177,1.628235e+00
178,1.598239e+00
179,1.660560e+00
180,1.602975e+00
181,1.530540e+00
182,1.555570e+00
183,1.502204e+00
184,1.471474e+00
185,1.493380e+00
186,1.726943e+00
187,1.773792e+00
188,1.740009e+00
189,1.707213e+00
190,1.642849e+00
191,1.600908e+00
192,1.624775e+00
193,1.759031e+00
194,1.693513e+00
195,1.615952e+00
196,1.754571e+00
197,1.798368e+00
198,1.944925e+00
199,1.971593e+00
200,2.057758e+00
201,1.969570e+00
202,1.884713e+00
203,1.907449e+00
204,1.886705e+00
205,1.870889e+00
206,1.882999e+00
207,1.900911e+00
208,1.857062e+00
209,1.851073e+00
210,1.820566e+00
211,1.733395e+00
212,1.879398e+00
213,1.766364e+00
214,1.667141e+00
215,1.548053e+00
216,1.674875e+00
217,1.862445e+00
218,2.064641e+00
219,1.982577e+00
220,1.956533e+00
221,2.028946e+00
222,2.005049e+00
223,1.694696e+00
224,1.756863e+00
225,1.812429e+00
226,1.674783e+00
227,1.659056e+00
228,1.798351e+00
229,1.647916e+00
230,1.591375e+00
231,1.517932e+00
232,1.571740e+00
233,1.613221e+00
234,1.503186e+00
235,1.499836e+00
236,1.461074e+00
237,1.458293e+00
238,1.420820e+00
239,1.500824e+00
240,1.594478e+00
241,1.761353e+00
242,1.872355e+00
243,1.899371e+00
244,1.873677e+00
245,1.915117e+00
246,1.950478e+00
247,2.127370e+00
248,1.968694e+00
249,1.917481e+00
250,2.159264e+00
251,2.182147e+00
252,2.115004e+00
253,2.206750e+00
254,2.139199e+00
255,2.251705e+00
256,2.171203e+00
257,2.096199e+00
258,2.027253e+00
259,2.044775e+00
260,2.000958e+00
261,1.976745e+00
262,1.992430e+00
263,1.954729e+00
264,1.902419e+00
265,2.009180e+00
266,1.994693e+00
267,2.125684e+00
268,2.014902e+00
269,2.103670e+00
270,2.123617e+00
271,2.261668e+00
272,2.213072e+00
273,2.293458e+00
274,2.201920e+00
275,2.237081e+00
276,2.240552e+00
277,2.101459e+00
278,2.080394e+00
279,1.924270e+00
280,1.952045e+00
281,2.010382e+00
282,2.100575e+00
283,2.232646e+00
284,2.175074e+00
285,2.181189e+00
286,2.166176e+00
287,2.041204e+00
288,2.109959e+00
289,2.232277e+00
290,2.172625e+00
291,2.240602e+00
292,1.981016e+00
293,1.864464e+00
294,1.962719e+00
295,1.994510e+00
296,2.155797e+00
297,2.420693e+00
298,2.220161e+00
299,2.283054e+00
300,2.364406e+00
301,2.169688e+00
302,2.190907e+00
303,2.204289e+00
304,2.245756e+00
305,2.253487e+00
306,2.333956e+00
307,2.497525e+00
308,2.396309e+00
309,2.303224e+00
310,2.216118e+00
311,2.165029e+00
312,2.129895e+00
313,2.138270e+00
314,2.115633e+00
315,2.009274e+00
316,2.092408e+00
317,2.067419e+00
318,2.168408e+00
319,2.217678e+00
320,2.306768e+00
321,2.469748e+00
322,2.222834e+00
323,2.380984e+00
324,2.511432e+00
325,2.367969e+00
326,2.419133e+00
327,2.275648e+00
328,2.310547e+00
329,2.403458e+00
330,2.261965e+00
331,2.284713e+00
332,2.212984e+00
333,2.104910e+00
334,2.029283e+00
335,1.924585e+00
336,1.965951e+00
337,1.955972e+00
338,1.924018e+00
339,1.899641e+00
340,2.052643e+00
341,1.950605e+00
342,2.119243e+00
343,1.844349e+00
344,1.866639e+00
345,1.792974e+00
346,1.709418e+00
347,1.493046e+00
348,1.621490e+00
349,1.634645e+00
350,1.711974e+00
351,1.734656e+00
352,1.775891e+00
353,1.855857e+00
354,1.879111e+00
355,1.791491e+00
356,1.823187e+00
357,1.862851e+00
358,1.713520e+00
359,1.673498e+00
360,1.736510e+00
361,1.679077e+00
362,1.806010e+00
363,1.792166e+00
364,1.901396e+00
365,1.991719e+00
366,2.034443e+00
367,1.915649e+00
368,1.993702e+00
369,2.003841e+00
370,2.196971e+00
371,2.174554e+00
372,2.323404e+00
373,2.162828e+00
374,2.286885e+00
375,2.049427e+00
376,2.022784e+00
377,2.206499e+00
378,2.129424e+00
379,2.186334e+00
380,2.171433e+00
381,2.013231e+00
382,2.154036e+00
383,2.206465e+00
384,2.215624e+00
385,2.295660e+00
386,2.231724e+00
387,2.239895e+00
388,2.379339e+00
389,2.233626e+00
390,2.230230e+00
391,2.273081e+00
392,2.252584e+00
393,2.276721e+00
394,2.165253e+00
395,2.095246e+00
396,2.178713e+00
397,2.208434e+00
398,2.255293e+00
399,2.309121e+00
400,2.228670e+00
401,2.313450e+00
402,2.257765e+00
403,2.298647e+00
404,2.498938e+00
405,2.469301e+00
406,2.511406e+00
407,2.470213e+00
408,2.494298e+00
409,2.583891e+00
410,2.689180e+00
411,2.661084e+00
412,2.622257e+00
413,2.706947e+00
414,2.708097e+00
415,2.844234e+00
416,2.792985e+00
417,2.860798e+00
418,2.944016e+00
419,2.927396e+00
420,2.842061e+00
421,3.040429e+00
422,2.946199e+00
423,2.951466e+00
424,2.914960e+00
425,2.849353e+00
426,3.111475e+00
427,3.022698e+00
428,2.905413e+00
429,2.964451e+00
430,2.807431e+00
431,2.844975e+00
432,3.029783e+00
433,2.886933e+00
434,2.852085e+00
435,2.845757e+00
436,2.930288e+00
437,2.978806e+00
438,2.892681e+00
439,2.866860e+00
440,2.796820e+00
441,2.857647e+00
442,2.909858e+00
443,3.048062e+00
444,3.092436e+00
445,3.168109e+00
446,3.189914e+00
447,3.161374e+00
448,3.167168e+00
449,3.023319e+00
450,2.930095e+00
451,2.874599e+00
452,2.809999e+00
453,2.836206e+00
454,2.938764e+00
455,2.979299e+00
456,2.972418e+00
457,3.003114e+00
458,2.918775e+00
459,3.007372e+00
460,2.889855e+00
461,3.066760e+00
462,2.993229e+00
463,2.980619e+00
464,3.275414e+00
465,3.114976e+00
466,3.146597e+00
467,3.089379e+00
468,2.984148e+00
469,2.969081e+00
470,2.913661e+00
471,2.893643e+00
472,2.746024e+00
473,2.718220e+00
474,2.797271e+00
475,2.730602e+00
476,2.751643e+00
477,2.873608e+00
478,2.733587e+00
479,2.720337e+00
480,2.740838e+00
481,2.711862e+00
482,2.678617e+00
483,2.657456e+00
484,2.562938e+00
485,2.689833e+00
486,2.656302e+00
487,2.667042e+00
488,2.807468e+00
489,2.868191e+00
490,2.674628e+00
491,2.760809e+00
492,2.903060e+00
493,2.869164e+00
494,2.945276e+00
495,2.871993e+00
496,2.889064e+00
497,2.948077e+00
498,2.932975e+00
499,2.828313e+00
500,2.827233e+00
501,2.763850e+00
502,2.810333e+00
503,2.852280e+00
504,2.882463e+00
505,3.057958e+00
506,3.154756e+00
507,3.141825e+00
508,3.121477e+00
509,2.986147e+00
510,3.105080e+00
511,3.101275e+00
512,2.908626e+00
513,3.029859e+00
514,2.968850e+00
515,2.881210e+00
516,2.876816e+00
517,2.889618e+00
