mode,eigval
1,2.965082e+00
2,3.959192e+00
3,6.111944e+00
4,6.519628e+00
5,7.555750e+00
6,7.988826e+00
7,8.918135e+00
8,9.490535e+00
9,9.768933e+00
10,1.043309e+01
11,1.133476e+01
12,1.223930e+01
13,1.259274e+01
14,1.316690e+01
15,1.414216e+01
16,1.450229e+01
17,1.508899e+01
18,1.527125e+01
19,1.633573e+01
20,1.666513e+01
21,1.754474e+01
22,1.797802e+01
23,1.803592e+01
24,1.882601e+01
25,1.903697e+01
26,1.938699e+01
27,1.955740e+01
28,2.028500e+01
29,2.047294e+01
30,2.073200e+01
31,2.129752e+01
32,2.193236e+01
33,2.204433e+01
34,2.272524e+01
35,2.321060e+01
36,2.331297e+01
37,2.360764e+01
38,2.405483e+01
39,2.454977e+01
40,2.512502e+01
41,2.537473e+01
42,2.568423e+01
43,2.673652e+01
44,2.677361e+01
45,2.718102e+01
46,2.777628e+01
47,2.808544e+01
48,2.855065e+01
49,2.881804e+01
50,2.904824e+01
51,2.948354e+01
52,2.978062e+01
53,3.006026e+01
54,3.043169e+01
55,3.054624e+01
56,3.087558e+01
57,3.106725e+01
58,3.160807e+01
59,3.183884e+01
60,3.209969e+01
61,3.260122e+01
62,3.276187e+01
63,3.330628e+01
64,3.349181e+01
65,3.412283e+01
66,3.432973e+01
67,3.450631e+01
68,3.457010e+01
69,3.501866e+01
70,3.542101e+01
71,3.572107e+01
72,3.587030e+01
73,3.618207e+01
74,3.648530e+01
75,3.713869e+01
76,3.739200e+01
77,3.759754e+01
78,3.795884e+01
79,3.808396e+01
80,3.843032e+01
81,3.849967e+01
82,3.884843e+01
83,3.897521e+01
84,3.930104e+01
85,3.999732e+01
86,4.037646e+01
87,4.055552e+01
88,4.108431e+01
89,4.135849e+01
90,4.139516e+01
91,4.172741e+01
92,4.199758e+01
93,4.247691e+01
94,4.268758e+01
95,4.283086e+01
96,4.303536e+01
97,4.334804e+01
98,4.360907e+01
99,4.387954e+01
100,4.406261e+01
101,4.458394e+01
102,4.519757e+01
103,4.538267e+01
104,4.555831e+01
105,4.595153e+01
106,4.614500e+01
107,4.666571e+01
108,4.678250e+01
109,4.726929e+01
110,4.746103e+01
111,4.776094e+01
112,4.808805e+01
113,4.828086e+01
114,4.830051e+01
115,4.873073e+01
116,4.890445e+01
117,4.911595e+01
118,4.969903e+01
119,4.998767e+01
120,5.012246e+01
121,5.056485e+01
122,5.082446e+01
123,5.092483e+01
124,5.137486e+01
125,5.152578e+01
126,5.169868e+01
127,5.197191e+01
128,5.237835e+01
129,5.273528e+01
130,5.294612e+01
131,5.302597e+01
132,5.340140e+01
133,5.363768e+01
134,5.415097e+01
135,5.456129e+01
136,5.506672e+01
137,5.521293e+01
138,5.541159e+01
139,5.570252e+01
140,5.603480e+01
141,5.616070e+01
142,5.632009e+01
143,5.678530e+01
144,5.683820e+01
145,5.708296e+01
146,5.777229e+01
147,5.790737e+01
148,5.829859e+01
149,5.833862e+01
150,5.887110e+01
151,5.923344e+01
152,5.978645e+01
153,6.007835e+01
154,6.026265e+01
155,6.043699e+01
156,6.085904e+01
157,6.122629e+01
158,6.146677e+01
159,6.167488e+01
160,6.193267e+01
161,6.218307e+01
162,6.249068e+01
163,6.271484e+01
164,6.282137e+01
165,6.312985e+01
166,6.360486e+01
167,6.380543e+01
168,6.403373e+01
169,6.412100e+01
170,6.454967e+01
171,6.499319e+01
172,6.538747e+01
173,6.563964e+01
174,6.591315e+01
175,6.600971e+01
176,6.636758e+01
177,6.661116e+01
178,6.688701e+01
179,6.707953e+01
180,6.753401e+01
181,6.771380e+01
182,6.778776e+01
183,6.815921e+01
184,6.871159e+01
185,6.885605e+01
186,6.899291e+01
187,6.909907e+01
188,6.947382e+01
189,6.964266e+01
190,7.008843e+01
191,7.027980e+01
192,7.035728e+01
193,7.072127e+01
194,7.149916e+01
195,7.194122e+01
196,7.211842e+01
197,7.230339e+01
198,7.250774e+01
199,7.268587e+01
200,7.322355e+01
201,7.351660e+01
202,7.385084e+01
203,7.395832e+01
204,7.441826e+01
205,7.462880e+01
206,7.471026e+01
207,7.507319e+01
208,7.531557e+01
209,7.556369e+01
210,7.589950e+01
211,7.651473e+01
212,7.661237e+01
213,7.674964e+01
214,7.726557e+01
215,7.734131e+01
216,7.777794e+01
217,7.815229e+01
218,7.829449e+01
219,7.865792e+01
220,7.872667e+01
221,7.913748e+01
222,7.946548e+01
223,7.989761e+01
224,8.006335e+01
225,8.047019e+01
226,8.076688e+01
227,8.107881e+01
228,8.123792e+01
229,8.140282e+01
230,8.209337e+01
231,8.246832e+01
232,8.264099e+01
233,8.298622e+01
234,8.315140e+01
235,8.356704e+01
236,8.373447e+01
237,8.381673e+01
238,8.396847e+01
239,8.423202e+01
240,8.426730e+01
241,8.482681e+01
242,8.521610e+01
243,8.548631e+01
244,8.598834e+01
245,8.604615e+01
246,8.662840e+01
247,8.687161e+01
248,8.699425e+01
249,8.751518e+01
250,8.761642e+01
251,8.770829e+01
252,8.792214e+01
253,8.809779e+01
254,8.856311e+01
255,8.869665e+01
256,8.890331e+01
257,8.924350e+01
258,8.968019e+01
259,9.032585e+01
260,9.045362e+01
261,9.077931e+01
262,9.102845e+01
263,9.115486e+01
264,9.156117e+01
265,9.174714e+01
266,9.231671e+01
267,9.260659e+01
268,9.293186e+01
269,9.318608e+01
270,9.349278e+01
271,9.360591e+01
272,9.387746e+01
273,9.401289e+01
274,9.423871e+01
275,9.461660e+01
276,9.502661e+01
277,9.540563e+01
278,9.559892e+01
279,9.579369e+01
280,9.648956e+01
281,9.668377e+01
282,9.695677e+01
283,9.739221e+01
284,9.756629e+01
285,9.790149e+01
286,9.825152e+01
287,9.839591e+01
288,9.903512e+01
289,9.907167e+01
290,9.933166e+01
291,9.955632e+01
292,9.982431e+01
293,1.002185e+02
294,1.002893e+02
295,1.003712e+02
296,1.009049e+02
297,1.010761e+02
298,1.013541e+02
299,1.015609e+02
300,1.018304e+02
301,1.021266e+02
302,1.023469e+02
303,1.028155e+02
304,1.029273e+02
305,1.034901e+02
306,1.036582e+02
307,1.042554e+02
308,1.046815e+02
309,1.049940e+02
310,1.050256e+02
311,1.054788e+02
312,1.059865e+02
313,1.060852e+02
314,1.063133e+02
315,1.065666e+02
316,1.067085e+02
317,1.069277e+02
318,1.071277e+02
319,1.076103e+02
320,1.078418e+02
321,1.080779e+02
322,1.084669e+02
323,1.087947e+02
324,1.091351e+02
325,1.094191e+02
326,1.097444e+02
327,1.101072e+02
328,1.103235e+02
329,1.105364e+02
330,1.109581e+02
331,1.114063e+02
332,1.114423e+02
333,1.116584e+02
334,1.121384e+02
335,1.125867e+02
336,1.126777e+02
337,1.127770e+02
338,1.133962e+02
339,1.135542e+02
340,1.137506e+02
341,1.141943e+02
342,1.142539e+02
343,1.144845e+02
344,1.146727e+02
345,1.148416e+02
346,1.152412e+02
347,1.155570e+02
348,1.158573e+02
349,1.162198e+02
350,1.162491e+02
351,1.167411e+02
352,1.175109e+02
353,1.177701e+02
354,1.179506e+02
355,1.181072e+02
356,1.188318e+02
357,1.189513e+02
358,1.192925e+02
359,1.194329e+02
360,1.200851e+02
361,1.201532e+02
362,1.205896e+02
363,1.212450e+02
364,1.213959e+02
365,1.215098e+02
366,1.215912e+02
367,1.220345e+02
368,1.223798e+02
369,1.227529e+02
370,1.229121e+02
371,1.233934e+02
372,1.237644e+02
373,1.239185e+02
374,1.242268e+02
375,1.243788e+02
376,1.245409e+02
377,1.248582e+02
378,1.253936e+02
379,1.255801e+02
380,1.259671e+02
381,1.265997e+02
382,1.266585e+02
383,1.269425e+02
384,1.274262e+02
385,1.280112e+02
386,1.282443e+02
387,1.284739e+02
388,1.287186e+02
389,1.292341e+02
390,1.295271e+02
391,1.298060e+02
392,1.300246e+02
393,1.304321e+02
394,1.305834e+02
395,1.307303e+02
396,1.310000e+02
397,1.311397e+02
398,1.313292e+02
399,1.318732e+02
400,1.319877e+02
401,1.324053e+02
402,1.324919e+02
403,1.330437e+02
404,1.336374e+02
405,1.340370e+02
406,1.342393e+02
407,1.344635e+02
408,1.348144e+02
409,1.353837e+02
410,1.354257e+02
411,1.357713e+02
412,1.361656e+02
413,1.363355e+02
414,1.365506e+02
415,1.367495e+02
416,1.369581e+02
417,1.376349e+02
418,1.376649e+02
419,1.382076e+02
420,1.385498e+02
421,1.388400e+02
422,1.390562e+02
423,1.398389e+02
424,1.401930e+02
425,1.404469e+02
426,1.405630e+02
427,1.407353e+02
428,1.407507e+02
429,1.411161e+02
430,1.415744e+02
431,1.420084e+02
432,1.423869e+02
433,1.427309e+02
434,1.430609e+02
435,1.434330e+02
436,1.436900e+02
437,1.441129e+02
438,1.445953e+02
439,1.446233e+02
440,1.450633e+02
441,1.452682e+02
442,1.453636e+02
443,1.459780e+02
444,1.465160e+02
445,1.466594e+02
446,1.467272e+02
447,1.472078e+02
448,1.474113e+02
449,1.480078e+02
450,1.484374e+02
451,1.487070e+02
452,1.491969e+02
453,1.493193e+02
454,1.497212e+02
455,1.499357e+02
456,1.501693e+02
457,1.505928e+02
458,1.507478e+02
459,1.509483e+02
460,1.514199e+02
461,1.516211e+02
462,1.524160e+02
463,1.527458e+02
464,1.529664e+02
465,1.531153e+02
466,1.536957e+02
467,1.541272e+02
468,1.545584e+02
469,1.547215e+02
470,1.549232e+02
471,1.554531e+02
472,1.557613e+02
473,1.558199e+02
474,1.564906e+02
475,1.568637e+02
476,1.570463e+02
477,1.574570e+02
478,1.579010e+02
479,1.583540e+02
480,1.588198e+02
481,1.590887e+02
482,1.593238e+02
483,1.597386e+02
484,1.598972e+02
485,1.603620e+02
486,1.608874e+02
487,1.611903e+02
488,1.613115e+02
489,1.614586e+02
490,1.621044e+02
491,1.626948e+02
492,1.628152e+02
493,1.633695e+02
494,1.637914e+02
495,1.639994e+02
496,1.643100e+02
497,1.647958e+02
498,1.648774e+02
499,1.650760e+02
500,1.659116e+02
501,1.660653e+02
502,1.666281e+02
503,1.670879e+02
504,1.674160e+02
505,1.675462e+02
506,1.683947e+02
507,1.686317e+02
508,1.691142e+02
509,1.694366e+02
510,1.701122e+02
511,1.704055e+02
512,1.706032e+02
513,1.710446e+02
514,1.717293e+02
515,1.718501e+02
516,1.720087e+02
517,1.721489e+02
518,1.724722e+02
519,1.733211e+02
520,1.735875e+02
521,1.740655e+02
522,1.743195e+02
523,1.750653e+02
524,1.755635e+02
525,1.756566e+02
526,1.762486e+02
527,1.766084e+02
528,1.772491e+02
529,1.777991e+02
530,1.781026e+02
531,1.783298e+02
532,1.786356e+02
533,1.796367e+02
534,1.798166e+02
535,1.803341e+02
536,1.803650e+02
537,1.810054e+02
538,1.811945e+02
539,1.815485e+02
540,1.818423e+02
541,1.820033e+02
542,1.823483e+02
543,1.828852e+02
544,1.833121e+02
545,1.837152e+02
546,1.838666e+02
547,1.842878e+02
548,1.846273e+02
549,1.850815e+02
550,1.853361e+02
551,1.856495e+02
552,1.864816e+02
553,1.869491e+02
554,1.874265e+02
555,1.876772e+02
556,1.883024e+02
557,1.885439e+02
558,1.887811e+02
559,1.890258e+02
560,1.894644e+02
561,1.898510e+02
562,1.903524e+02
563,1.907168e+02
564,1.912415e+02
565,1.918095e+02
566,1.918266e+02
567,1.922066e+02
568,1.923571e+02
569,1.932025e+02
570,1.934616e+02
571,1.939361e+02
572,1.942735e+02
573,1.944795e+02
574,1.948467e+02
575,1.955108e+02
576,1.960446e+02
577,1.962245e+02
578,1.965523e+02
579,1.971792e+02
580,1.973318e+02
581,1.975093e+02
582,1.980296e+02
583,1.983875e+02
584,1.984905e+02
585,1.995054e+02
586,1.997600e+02
587,2.004251e+02
588,2.004779e+02
589,2.011650e+02
590,2.018725e+02
591,2.021165e+02
592,2.023926e+02
593,2.026955e+02
594,2.030709e+02
595,2.034332e+02
596,2.036539e+02
597,2.040507e+02
598,2.045964e+02
599,2.047173e+02
600,2.054840e+02
601,2.056549e+02
602,2.063543e+02
603,2.069337e+02
604,2.073389e+02
605,2.077159e+02
606,2.080415e+02
607,2.081815e+02
608,2.083045e+02
609,2.086096e+02
610,2.090862e+02
611,2.095859e+02
612,2.105086e+02
613,2.109579e+02
614,2.112275e+02
615,2.117836e+02
616,2.120134e+02
617,2.125096e+02
618,2.132730e+02
619,2.137342e+02
620,2.138342e+02
621,2.142305e+02
622,2.144759e+02
623,2.147576e+02
624,2.153850e+02
625,2.160356e+02
626,2.163440e+02
627,2.172112e+02
628,2.173311e+02
629,2.178014e+02
630,2.182691e+02
631,2.185710e+02
632,2.187744e+02
633,2.194194e+02
634,2.198552e+02
635,2.202408e+02
636,2.205342e+02
637,2.211249e+02
638,2.215397e+02
639,2.218747e+02
640,2.222729e+02
641,2.224845e+02
642,2.230315e+02
643,2.234589e+02
644,2.238854e+02
645,2.242051e+02
646,2.247207e+02
647,2.256164e+02
648,2.256913e+02
649,2.263273e+02
650,2.265944e+02
651,2.269126e+02
652,2.274687e+02
653,2.281262e+02
654,2.283051e+02
655,2.290388e+02
656,2.293319e+02
657,2.295071e+02
658,2.299645e+02
659,2.303804e+02
660,2.308443e+02
661,2.311733e+02
662,2.312953e+02
663,2.318734e+02
664,2.323725e+02
665,2.326923e+02
666,2.330393e+02
667,2.334044e+02
668,2.339700e+02
669,2.345418e+02
670,2.349141e+02
671,2.353292e+02
672,2.358637e+02
673,2.363761e+02
674,2.370404e+02
