frame_number,rmsd
1,8.374818e-01
2,8.463936e-01
3,8.661243e-01
4,9.608432e-01
5,1.060341e+00
6,9.694887e-01
7,1.000531e+00
8,1.106524e+00
9,1.096863e+00
10,1.072020e+00
11,1.054894e+00
12,9.942263e-01
13,1.000376e+00
14,1.003665e+00
15,1.152574e+00
16,9.616512e-01
17,1.083736e+00
18,1.123200e+00
19,1.038660e+00
20,1.049906e+00
21,1.138846e+00
22,1.262773e+00
23,1.198721e+00
24,1.186473e+00
25,1.204922e+00
26,1.323920e+00
27,1.226987e+00
28,1.224030e+00
29,1.185868e+00
30,1.232828e+00
31,1.202711e+00
32,1.172793e+00
33,1.135269e+00
34,1.149422e+00
35,1.239536e+00
36,1.257705e+00
37,1.089202e+00
38,1.209457e+00
39,1.235796e+00
40,1.227708e+00
41,1.227616e+00
42,1.260696e+00
43,1.097095e+00
44,1.265995e+00
45,1.163857e+00
46,1.257646e+00
47,1.280819e+00
48,1.211795e+00
49,1.290199e+00
50,1.289815e+00
51,1.187236e+00
52,1.144057e+00
53,1.101589e+00
54,1.160543e+00
55,1.100189e+00
56,1.062063e+00
57,1.107340e+00
58,1.126727e+00
59,1.098141e+00
60,1.145668e+00
61,1.139070e+00
62,1.154821e+00
63,1.106369e+00
64,1.094915e+00
65,1.079650e+00
66,1.108935e+00
67,1.225188e+00
68,1.156030e+00
69,1.029551e+00
70,1.058550e+00
71,1.127750e+00
72,1.201965e+00
73,1.180268e+00
74,1.116688e+00
75,1.267934e+00
76,1.326088e+00
77,1.250689e+00
78,1.303912e+00
79,1.351292e+00
80,1.267730e+00
81,1.137737e+00
82,1.070206e+00
83,1.181309e+00
84,1.074827e+00
85,1.142058e+00
86,1.169782e+00
87,1.145170e+00
88,1.218771e+00
89,1.116891e+00
90,1.124224e+00
91,1.151090e+00
92,1.130020e+00
93,1.269680e+00
94,1.184005e+00
95,1.085457e+00
96,1.054030e+00
97,1.110670e+00
98,1.152693e+00
99,1.180116e+00
100,1.161103e+00
101,1.179890e+00
102,1.161091e+00
103,1.080242e+00
104,1.002174e+00
105,1.077123e+00
106,1.070811e+00
107,1.089004e+00
108,1.211278e+00
109,1.169791e+00
110,1.121513e+00
111,1.071150e+00
112,1.155260e+00
113,1.174250e+00
114,1.123020e+00
115,1.134151e+00
116,1.204273e+00
117,1.109097e+00
118,1.168079e+00
119,1.133677e+00
120,1.170362e+00
121,1.187497e+00
122,1.162397e+00
123,1.201434e+00
124,1.195911e+00
125,1.177925e+00
126,1.210879e+00
127,1.206464e+00
128,1.223197e+00
129,1.265261e+00
130,1.177331e+00
131,1.236614e+00
132,1.194557e+00
133,1.186266e+00
134,1.244669e+00
135,1.253030e+00
136,1.182219e+00
137,1.259829e+00
138,1.229369e+00
139,1.271271e+00
140,1.192540e+00
141,1.255532e+00
142,1.190402e+00
143,1.181910e+00
144,1.201294e+00
145,1.247334e+00
146,1.242678e+00
147,1.238237e+00
148,1.239394e+00
149,1.225452e+00
150,1.233464e+00
151,1.266536e+00
152,1.223300e+00
153,1.322310e+00
154,1.288134e+00
155,1.348070e+00
156,1.360021e+00
157,1.371615e+00
158,1.354090e+00
159,1.272317e+00
160,1.297441e+00
161,1.371380e+00
162,1.305680e+00
163,1.353873e+00
164,1.343437e+00
165,1.337858e+00
166,1.347927e+00
167,1.300771e+00
168,1.292531e+00
169,1.274204e+00
170,1.363559e+00
171,1.365907e+00
172,1.380353e+00
173,1.369937e+00
174,1.301400e+00
175,1.256578e+00
176,1.285981e+00
177,1.289535e+00
178,1.306875e+00
179,1.324011e+00
180,1.276563e+00
181,1.325752e+00
182,1.325317e+00
183,1.303614e+00
184,1.282477e+00
185,1.317027e+00
186,1.258870e+00
187,1.311984e+00
188,1.301755e+00
189,1.326242e+00
190,1.334446e+00
191,1.416980e+00
192,1.332448e+00
193,1.252045e+00
194,1.400277e+00
195,1.299433e+00
196,1.318936e+00
197,1.372917e+00
198,1.342487e+00
199,1.415985e+00
200,1.430686e+00
201,1.510977e+00
202,1.426319e+00
203,1.434241e+00
204,1.435319e+00
205,1.442094e+00
206,1.408518e+00
207,1.409745e+00
208,1.517258e+00
209,1.514231e+00
210,1.540221e+00
211,1.527661e+00
212,1.541990e+00
213,1.540768e+00
214,1.445384e+00
215,1.480452e+00
216,1.495471e+00
217,1.428412e+00
218,1.451918e+00
219,1.421883e+00
220,1.472827e+00
221,1.442298e+00
222,1.360445e+00
223,1.345455e+00
224,1.351243e+00
225,1.385635e+00
226,1.381591e+00
227,1.391146e+00
228,1.492071e+00
229,1.476347e+00
230,1.379389e+00
231,1.513914e+00
232,1.614761e+00
233,1.527034e+00
234,1.538030e+00
235,1.474728e+00
236,1.492071e+00
237,1.453479e+00
238,1.474114e+00
239,1.463410e+00
240,1.421060e+00
241,1.404666e+00
242,1.392522e+00
243,1.377115e+00
244,1.389465e+00
245,1.390065e+00
246,1.397668e+00
247,1.386243e+00
248,1.383086e+00
249,1.400221e+00
250,1.363756e+00
251,1.485703e+00
252,1.338662e+00
253,1.404383e+00
254,1.449141e+00
255,1.404653e+00
256,1.426090e+00
257,1.476485e+00
258,1.396263e+00
259,1.521631e+00
260,1.488055e+00
261,1.575858e+00
262,1.477782e+00
263,1.514573e+00
264,1.391860e+00
265,1.391338e+00
266,1.306062e+00
267,1.393174e+00
268,1.387166e+00
269,1.427834e+00
270,1.360915e+00
271,1.382772e+00
272,1.474821e+00
273,1.498013e+00
274,1.398576e+00
275,1.476909e+00
276,1.529272e+00
277,1.574642e+00
278,1.484135e+00
279,1.450219e+00
280,1.554838e+00
281,1.571801e+00
282,1.573942e+00
283,1.590157e+00
284,1.575907e+00
285,1.600935e+00
286,1.538720e+00
287,1.578456e+00
288,1.491091e+00
289,1.582399e+00
290,1.660875e+00
291,1.533051e+00
292,1.607150e+00
293,1.587961e+00
294,1.540055e+00
295,1.702325e+00
296,1.598365e+00
297,1.575160e+00
298,1.580120e+00
299,1.523784e+00
300,1.504600e+00
301,1.550492e+00
302,1.523151e+00
303,1.573931e+00
304,1.654884e+00
305,1.684122e+00
306,1.656538e+00
307,1.801327e+00
308,1.752447e+00
309,1.662647e+00
310,1.698095e+00
311,1.640627e+00
312,1.590670e+00
313,1.533466e+00
314,1.660857e+00
315,1.619587e+00
316,1.653128e+00
317,1.782187e+00
318,1.731784e+00
319,1.721231e+00
320,1.736493e+00
321,1.697252e+00
322,1.739978e+00
323,1.645080e+00
324,1.557514e+00
325,1.444150e+00
326,1.510904e+00
327,1.535387e+00
