mode,eigval
1,1.775728e+00
2,2.532266e+00
3,3.469228e+00
4,3.798112e+00
5,4.401789e+00
6,4.626710e+00
7,5.016531e+00
8,5.298855e+00
9,5.581898e+00
10,5.746387e+00
11,6.835134e+00
12,7.150986e+00
13,7.432390e+00
14,7.940281e+00
15,8.489451e+00
16,9.333729e+00
17,9.627234e+00
18,1.013452e+01
19,1.022444e+01
20,1.068030e+01
21,1.102172e+01
22,1.144862e+01
23,1.182437e+01
24,1.236109e+01
25,1.257695e+01
26,1.265904e+01
27,1.355308e+01
28,1.373596e+01
29,1.440305e+01
30,1.455857e+01
31,1.484870e+01
32,1.517786e+01
33,1.551598e+01
34,1.582181e+01
35,1.587837e+01
36,1.632772e+01
37,1.639896e+01
38,1.666870e+01
39,1.716771e+01
40,1.740206e+01
41,1.769222e+01
42,1.801220e+01
43,1.845190e+01
44,1.854782e+01
45,1.874189e+01
46,1.885157e+01
47,1.919142e+01
48,1.957467e+01
49,1.971100e+01
50,1.993070e+01
51,2.037930e+01
52,2.048086e+01
53,2.072780e+01
54,2.133501e+01
55,2.167417e+01
56,2.185405e+01
57,2.218793e+01
58,2.236805e+01
59,2.251615e+01
60,2.273519e+01
61,2.290531e+01
62,2.337061e+01
63,2.339650e+01
64,2.364099e+01
65,2.395556e+01
66,2.438738e+01
67,2.443760e+01
68,2.479640e+01
69,2.493479e+01
70,2.516108e+01
71,2.554839e+01
72,2.560955e+01
73,2.578580e+01
74,2.615791e+01
75,2.637808e+01
76,2.666352e+01
77,2.683831e+01
78,2.701545e+01
79,2.723438e+01
80,2.744605e+01
81,2.788295e+01
82,2.808563e+01
83,2.809947e+01
84,2.828713e+01
85,2.850314e+01
86,2.886676e+01
87,2.901800e+01
88,2.907401e+01
89,2.932083e+01
90,2.966819e+01
91,3.004702e+01
92,3.021918e+01
93,3.033480e+01
94,3.057019e+01
95,3.072064e+01
96,3.088502e+01
97,3.109794e+01
98,3.127526e+01
99,3.150066e+01
100,3.165574e+01
101,3.183607e+01
102,3.208198e+01
103,3.225322e+01
104,3.273232e+01
105,3.285121e+01
106,3.308785e+01
107,3.334453e+01
108,3.357057e+01
109,3.376961e+01
110,3.407441e+01
111,3.425632e+01
112,3.433617e+01
113,3.450683e+01
114,3.481641e+01
115,3.497510e+01
116,3.534361e+01
117,3.546421e+01
118,3.553356e+01
119,3.576090e+01
120,3.605833e+01
121,3.607909e+01
122,3.627852e+01
123,3.642358e+01
124,3.657629e+01
125,3.688132e+01
126,3.725720e+01
127,3.732845e+01
128,3.752690e+01
129,3.761604e+01
130,3.780540e+01
131,3.790685e+01
132,3.810961e+01
133,3.844727e+01
134,3.874676e+01
135,3.885970e+01
136,3.891793e+01
137,3.918787e+01
138,3.955536e+01
139,3.986326e+01
140,3.993482e+01
141,4.016664e+01
142,4.037173e+01
143,4.042838e+01
144,4.054674e+01
145,4.076081e+01
146,4.081439e+01
147,4.107858e+01
148,4.132300e+01
149,4.152390e+01
150,4.158613e+01
151,4.210442e+01
152,4.215538e+01
153,4.229149e+01
154,4.258386e+01
155,4.268131e+01
156,4.282054e+01
157,4.310634e+01
158,4.319437e+01
159,4.341374e+01
160,4.353614e+01
161,4.371701e+01
162,4.398934e+01
163,4.404123e+01
164,4.441194e+01
165,4.465770e+01
166,4.477315e+01
167,4.488092e+01
168,4.493546e+01
169,4.527128e+01
170,4.534499e+01
171,4.555085e+01
172,4.576947e+01
173,4.582574e+01
174,4.603507e+01
175,4.612647e+01
176,4.647338e+01
177,4.649317e+01
178,4.663240e+01
179,4.687841e+01
180,4.691880e+01
181,4.727781e+01
182,4.749100e+01
183,4.771137e+01
184,4.773078e+01
185,4.801743e+01
186,4.815297e+01
187,4.831621e+01
188,4.852754e+01
189,4.866262e+01
190,4.871118e+01
191,4.894729e+01
192,4.919082e+01
193,4.934438e+01
194,4.944842e+01
195,4.979902e+01
196,4.997276e+01
197,5.003631e+01
198,5.018032e+01
199,5.051712e+01
200,5.070026e+01
201,5.096919e+01
202,5.116782e+01
203,5.134125e+01
204,5.140831e+01
205,5.144907e+01
206,5.172866e+01
207,5.175914e+01
208,5.200177e+01
209,5.209937e+01
210,5.227331e+01
211,5.266056e+01
212,5.286635e+01
213,5.293201e+01
214,5.315640e+01
215,5.330510e+01
216,5.365335e+01
217,5.373283e+01
218,5.379345e+01
219,5.405786e+01
220,5.415606e+01
221,5.444574e+01
222,5.450525e+01
223,5.460142e+01
224,5.489851e+01
225,5.500691e+01
226,5.526531e+01
227,5.550711e+01
228,5.564735e+01
229,5.580372e+01
230,5.591913e+01
231,5.609836e+01
232,5.623199e+01
233,5.644525e+01
234,5.653702e+01
235,5.659817e+01
236,5.693025e+01
237,5.719071e+01
238,5.739536e+01
239,5.748074e+01
240,5.765732e+01
241,5.783395e+01
242,5.796209e+01
243,5.812306e+01
244,5.828092e+01
245,5.852120e+01
246,5.859139e+01
247,5.893998e+01
248,5.905444e+01
249,5.915609e+01
250,5.928963e+01
251,5.956278e+01
252,5.967280e+01
253,5.972095e+01
254,6.004941e+01
255,6.017977e+01
256,6.054152e+01
257,6.057207e+01
258,6.082453e+01
259,6.096903e+01
260,6.112010e+01
261,6.123448e+01
262,6.150234e+01
263,6.157423e+01
264,6.178598e+01
265,6.194982e+01
266,6.214943e+01
267,6.243468e+01
268,6.251245e+01
269,6.256773e+01
270,6.287138e+01
271,6.321916e+01
272,6.332247e+01
273,6.363722e+01
274,6.372387e+01
275,6.388830e+01
276,6.409811e+01
277,6.426946e+01
278,6.438510e+01
279,6.451389e+01
280,6.478448e+01
281,6.485930e+01
282,6.512666e+01
283,6.517393e+01
284,6.533144e+01
285,6.561570e+01
286,6.568455e+01
287,6.587426e+01
288,6.605165e+01
289,6.647798e+01
290,6.665254e+01
291,6.683870e+01
292,6.689060e+01
293,6.713125e+01
294,6.743503e+01
295,6.760496e+01
296,6.777962e+01
297,6.784267e+01
298,6.796598e+01
299,6.805623e+01
300,6.831973e+01
301,6.847639e+01
302,6.874158e+01
303,6.879560e+01
304,6.891261e+01
305,6.902196e+01
306,6.922275e+01
307,6.941702e+01
308,6.963364e+01
309,6.966069e+01
310,6.996980e+01
311,7.022685e+01
312,7.038722e+01
313,7.046698e+01
314,7.067040e+01
315,7.076076e+01
316,7.110985e+01
317,7.131472e+01
318,7.152697e+01
319,7.159432e+01
320,7.174221e+01
321,7.190507e+01
322,7.231415e+01
323,7.234549e+01
324,7.256420e+01
325,7.279793e+01
326,7.304850e+01
