back_coeff,plot_type,modes,chi2
1,hist,all,1089.52
2,hist,all,1235.14
3,hist,all,1549.45
4,hist,all,2205.50
5,hist,all,2880.48
10,hist,all,1906.23
15,hist,all,1263.83
20,hist,all,1249.39
25,hist,all,1542.10
30,hist,all,2161.81
35,hist,all,2435.02
1,scatter,all,101239.27
2,scatter,all,90538.47
3,scatter,all,78560.18
4,scatter,all,67311.58
5,scatter,all,57484.04
10,scatter,all,27379.16
15,scatter,all,18026.92
20,scatter,all,20925.02
25,scatter,all,32044.71
30,scatter,all,49162.83
35,scatter,all,70902.07
