frame_number,rmsd
1,9.816151e-01
2,9.261969e-01
3,9.055809e-01
4,9.091374e-01
5,8.610958e-01
6,9.125995e-01
7,8.863142e-01
8,1.002375e+00
9,9.643002e-01
10,9.118068e-01
11,9.593336e-01
12,9.438665e-01
13,1.028736e+00
14,9.156452e-01
15,1.014764e+00
16,1.040446e+00
17,1.029987e+00
18,9.015784e-01
19,9.658333e-01
20,9.461379e-01
21,9.376406e-01
22,9.724550e-01
23,9.752993e-01
24,9.669526e-01
25,1.086078e+00
26,1.141439e+00
27,1.098262e+00
28,1.100659e+00
29,1.091459e+00
30,1.106046e+00
31,1.069868e+00
32,1.085764e+00
33,1.149053e+00
34,1.041409e+00
35,1.092631e+00
36,1.073208e+00
37,1.133445e+00
38,1.110732e+00
39,1.077926e+00
40,1.127875e+00
41,1.125099e+00
42,1.147759e+00
43,1.099506e+00
44,1.170479e+00
45,1.287055e+00
46,1.155085e+00
47,1.179790e+00
48,1.198316e+00
49,1.153827e+00
50,1.185517e+00
51,1.197911e+00
52,1.270941e+00
53,1.177360e+00
54,1.211375e+00
55,1.286561e+00
56,1.308129e+00
57,1.336385e+00
58,1.300832e+00
59,1.358230e+00
60,1.328554e+00
61,1.281085e+00
62,1.359489e+00
63,1.278006e+00
64,1.312825e+00
65,1.252685e+00
66,1.280930e+00
67,1.290864e+00
68,1.216127e+00
69,1.165968e+00
70,1.171755e+00
71,1.154306e+00
72,1.168025e+00
73,1.219663e+00
74,1.261203e+00
75,1.302026e+00
76,1.306710e+00
77,1.277823e+00
78,1.233552e+00
79,1.282923e+00
80,1.269288e+00
81,1.272128e+00
82,1.260102e+00
83,1.299762e+00
84,1.297094e+00
85,1.319665e+00
86,1.332069e+00
87,1.366952e+00
88,1.420325e+00
89,1.339530e+00
90,1.319630e+00
91,1.362856e+00
92,1.379201e+00
93,1.379159e+00
94,1.327752e+00
95,1.342468e+00
96,1.395727e+00
97,1.319347e+00
98,1.286990e+00
99,1.271893e+00
100,1.260068e+00
101,1.333657e+00
102,1.207612e+00
103,1.132604e+00
104,1.162103e+00
105,1.199959e+00
106,1.148081e+00
107,1.265412e+00
108,1.341093e+00
109,1.295323e+00
110,1.280215e+00
111,1.265462e+00
112,1.236166e+00
113,1.148985e+00
114,1.278772e+00
115,1.334064e+00
116,1.133088e+00
117,1.089615e+00
118,1.124375e+00
119,1.211857e+00
120,1.162155e+00
121,1.072551e+00
122,1.049546e+00
123,1.053869e+00
124,1.120170e+00
125,1.094307e+00
126,1.074932e+00
127,1.123172e+00
128,1.071501e+00
129,1.135446e+00
130,1.099279e+00
131,1.030531e+00
132,1.118087e+00
133,1.141610e+00
134,1.161536e+00
135,1.159433e+00
136,1.171294e+00
137,1.220954e+00
138,1.107476e+00
139,1.062837e+00
140,1.151518e+00
141,1.115279e+00
142,1.115377e+00
143,1.152632e+00
144,1.108111e+00
145,1.094419e+00
146,1.180978e+00
147,1.080289e+00
148,1.057369e+00
149,1.090332e+00
150,1.140691e+00
151,1.236779e+00
152,1.212277e+00
153,1.121014e+00
154,1.130756e+00
155,1.086500e+00
156,1.129362e+00
157,1.040948e+00
158,1.060045e+00
159,1.067684e+00
160,1.083562e+00
161,9.699667e-01
162,1.134503e+00
163,1.016948e+00
164,1.052495e+00
165,1.085801e+00
166,1.046408e+00
167,1.092650e+00
168,1.093196e+00
169,1.078084e+00
170,1.057046e+00
171,9.804371e-01
172,9.780063e-01
173,9.865555e-01
174,9.375822e-01
175,9.605347e-01
176,1.054492e+00
177,1.104723e+00
178,1.075283e+00
179,1.059715e+00
180,1.020879e+00
181,1.056722e+00
182,9.889666e-01
183,1.067585e+00
184,1.011985e+00
185,1.059971e+00
186,1.076420e+00
187,1.036527e+00
188,1.071081e+00
189,1.043546e+00
190,1.010805e+00
191,1.025774e+00
192,1.070217e+00
193,1.095372e+00
194,1.173068e+00
195,1.053569e+00
196,9.463635e-01
197,9.760977e-01
198,9.669617e-01
199,1.036685e+00
200,1.092863e+00
201,1.068015e+00
202,1.077328e+00
203,1.078336e+00
204,9.784887e-01
205,1.000936e+00
206,1.113391e+00
207,1.083047e+00
208,1.059332e+00
209,1.028744e+00
210,1.026850e+00
211,1.062884e+00
212,9.861945e-01
213,9.669067e-01
214,9.797430e-01
215,9.641021e-01
216,9.551331e-01
217,1.024252e+00
218,1.047871e+00
219,9.893831e-01
220,9.907491e-01
221,9.608278e-01
222,1.049109e+00
223,9.962882e-01
224,1.076991e+00
225,1.012942e+00
226,9.820959e-01
227,1.019131e+00
228,9.562183e-01
229,9.632503e-01
230,1.001772e+00
231,1.067947e+00
232,1.045156e+00
233,1.057747e+00
234,1.002836e+00
235,1.064091e+00
236,1.036599e+00
237,1.074036e+00
238,1.068826e+00
239,9.889552e-01
240,1.029863e+00
241,1.064661e+00
242,1.080604e+00
243,9.507697e-01
244,9.550258e-01
245,1.024886e+00
246,1.031789e+00
247,9.988037e-01
248,9.686652e-01
249,1.090940e+00
250,1.089188e+00
251,1.064450e+00
252,1.099258e+00
253,1.180813e+00
254,1.283950e+00
255,1.243793e+00
256,1.200192e+00
257,1.076103e+00
258,1.160194e+00
259,1.056272e+00
260,9.858568e-01
261,1.028744e+00
262,1.122673e+00
263,1.127136e+00
264,1.224387e+00
265,1.176299e+00
266,1.019440e+00
267,9.324020e-01
268,9.474705e-01
269,9.508517e-01
270,1.009196e+00
271,1.084406e+00
272,1.098523e+00
273,1.162724e+00
274,1.069251e+00
275,1.102556e+00
276,1.130374e+00
277,1.138992e+00
278,1.105771e+00
279,1.134238e+00
280,1.126877e+00
281,1.180583e+00
282,1.178617e+00
283,1.181024e+00
284,1.235373e+00
285,1.191128e+00
286,1.271047e+00
287,1.157893e+00
288,1.156675e+00
289,1.193792e+00
290,1.240773e+00
291,1.263891e+00
292,1.269712e+00
293,1.239377e+00
294,1.207680e+00
295,1.105182e+00
296,1.155662e+00
297,1.180228e+00
298,1.140604e+00
299,1.133400e+00
300,1.235079e+00
301,1.152807e+00
302,1.175641e+00
303,1.090413e+00
304,1.131907e+00
305,1.057155e+00
306,1.053370e+00
307,1.049125e+00
308,1.070326e+00
309,1.023303e+00
310,1.063650e+00
311,1.061450e+00
312,1.158760e+00
313,1.177123e+00
314,1.057926e+00
315,1.124079e+00
316,1.191798e+00
317,1.088957e+00
318,1.064941e+00
319,1.094591e+00
320,1.132639e+00
321,1.115852e+00
322,1.230103e+00
323,1.130821e+00
324,1.128784e+00
325,1.202570e+00
326,1.204120e+00
327,1.139143e+00
328,1.136007e+00
329,1.100390e+00
330,1.144952e+00
331,1.141364e+00
332,1.141567e+00
333,1.212308e+00
334,1.217655e+00
335,1.189327e+00
336,1.102332e+00
337,1.069693e+00
338,1.056574e+00
339,1.100732e+00
340,1.133268e+00
341,1.159622e+00
342,1.109972e+00
343,1.037937e+00
344,1.114333e+00
345,1.068560e+00
346,1.115272e+00
347,1.033880e+00
348,9.859847e-01
349,1.072982e+00
350,1.162044e+00
351,1.195261e+00
352,1.226598e+00
353,1.218470e+00
354,1.148282e+00
355,1.125713e+00
356,1.276218e+00
357,1.198615e+00
358,1.166560e+00
359,1.077939e+00
360,1.146976e+00
361,1.107964e+00
362,1.103559e+00
363,1.125345e+00
364,1.105681e+00
365,1.133487e+00
366,1.193719e+00
367,1.207604e+00
368,1.128288e+00
369,1.126592e+00
370,1.188229e+00
371,1.203140e+00
372,1.144142e+00
373,1.185292e+00
374,1.280196e+00
375,1.283659e+00
376,1.234206e+00
377,1.200630e+00
378,1.122157e+00
379,1.084581e+00
380,1.072373e+00
381,1.103751e+00
382,1.024984e+00
383,1.074254e+00
384,1.136336e+00
385,1.282146e+00
386,1.280733e+00
387,1.318919e+00
388,1.302344e+00
389,1.302616e+00
390,1.257758e+00
391,1.346028e+00
392,1.409126e+00
393,1.440226e+00
394,1.451999e+00
395,1.409074e+00
396,1.286268e+00
397,1.246698e+00
398,1.312518e+00
399,1.318223e+00
400,1.406028e+00
401,1.375968e+00
402,1.372773e+00
403,1.406612e+00
404,1.351347e+00
405,1.269422e+00
406,1.284427e+00
407,1.291299e+00
408,1.213705e+00
409,1.235105e+00
410,1.229531e+00
411,1.240165e+00
412,1.204518e+00
413,1.244749e+00
414,1.217895e+00
415,1.221604e+00
416,1.200298e+00
417,1.263553e+00
418,1.246969e+00
419,1.274087e+00
420,1.221696e+00
421,1.226504e+00
422,1.253887e+00
423,1.232830e+00
424,1.285396e+00
425,1.303492e+00
426,1.282513e+00
427,1.340525e+00
428,1.332608e+00
429,1.281802e+00
430,1.283267e+00
431,1.413671e+00
432,1.402720e+00
433,1.372444e+00
434,1.332232e+00
435,1.262166e+00
436,1.229948e+00
437,1.202958e+00
438,1.147243e+00
439,1.288408e+00
440,1.278813e+00
441,1.322378e+00
442,1.303778e+00
443,1.379259e+00
444,1.323315e+00
445,1.363553e+00
446,1.291744e+00
447,1.278231e+00
448,1.266922e+00
449,1.217567e+00
450,1.251702e+00
451,1.240860e+00
452,1.258816e+00
453,1.293851e+00
454,1.312124e+00
455,1.284174e+00
456,1.326667e+00
457,1.275384e+00
458,1.307466e+00
459,1.335810e+00
460,1.263018e+00
461,1.338074e+00
462,1.289442e+00
463,1.375598e+00
464,1.279734e+00
465,1.250965e+00
466,1.297725e+00
467,1.291915e+00
468,1.334061e+00
469,1.261504e+00
470,1.303716e+00
471,1.389874e+00
472,1.291705e+00
473,1.337019e+00
474,1.359306e+00
475,1.282751e+00
476,1.295643e+00
477,1.368444e+00
478,1.330223e+00
479,1.365411e+00
480,1.357407e+00
481,1.381587e+00
482,1.409060e+00
483,1.362858e+00
484,1.385131e+00
485,1.339245e+00
486,1.351220e+00
487,1.235688e+00
488,1.308673e+00
489,1.252262e+00
490,1.314677e+00
491,1.329983e+00
492,1.356268e+00
493,1.337214e+00
494,1.376134e+00
495,1.443203e+00
496,1.257595e+00
497,1.305429e+00
498,1.332881e+00
499,1.334649e+00
500,1.369949e+00
501,1.295618e+00
502,1.361608e+00
503,1.472760e+00
504,1.419861e+00
505,1.504497e+00
506,1.503836e+00
507,1.525626e+00
508,1.524057e+00
509,1.504806e+00
510,1.506621e+00
511,1.520990e+00
512,1.460185e+00
513,1.537320e+00
514,1.481943e+00
515,1.379002e+00
516,1.312857e+00
517,1.305958e+00
518,1.297414e+00
519,1.309446e+00
520,1.397901e+00
521,1.316122e+00
522,1.219011e+00
523,1.235406e+00
524,1.227477e+00
525,1.278789e+00
526,1.342344e+00
527,1.321327e+00
528,1.270134e+00
529,1.306956e+00
530,1.277960e+00
531,1.286644e+00
532,1.310582e+00
533,1.252540e+00
534,1.395880e+00
535,1.345785e+00
536,1.383389e+00
537,1.468458e+00
538,1.489599e+00
539,1.511198e+00
540,1.517260e+00
541,1.589642e+00
542,1.548143e+00
543,1.431431e+00
544,1.359866e+00
545,1.334520e+00
546,1.383194e+00
547,1.399589e+00
548,1.474631e+00
